location_id,row_x,bay_y,level_z
0000000000,0,0,0
0000000001,0,0,1
0000000002,0,0,2
0000000003,0,0,3
0000000004,0,0,4
0000000005,0,0,5
0000000006,0,0,6
0000000007,0,0,7
0000000100,0,1,0
0000000101,0,1,1
0000000102,0,1,2
0000000103,0,1,3
0000000104,0,1,4
0000000105,0,1,5
0000000106,0,1,6
0000000107,0,1,7
0000000200,0,2,0
0000000201,0,2,1
0000000202,0,2,2
0000000203,0,2,3
0000000204,0,2,4
0000000205,0,2,5
0000000206,0,2,6
0000000207,0,2,7
0000000300,0,3,0
0000000301,0,3,1
0000000302,0,3,2
0000000303,0,3,3
0000000304,0,3,4
0000000305,0,3,5
0000000306,0,3,6
0000000307,0,3,7
0000000400,0,4,0
0000000401,0,4,1
0000000402,0,4,2
0000000403,0,4,3
0000000404,0,4,4
0000000405,0,4,5
0000000406,0,4,6
0000000407,0,4,7
0000000500,0,5,0
0000000501,0,5,1
0000000502,0,5,2
0000000503,0,5,3
0000000504,0,5,4
0000000505,0,5,5
0000000506,0,5,6
0000000507,0,5,7
0000000600,0,6,0
0000000601,0,6,1
0000000602,0,6,2
0000000603,0,6,3
0000000604,0,6,4
0000000605,0,6,5
0000000606,0,6,6
0000000607,0,6,7
0000000700,0,7,0
0000000701,0,7,1
0000000702,0,7,2
0000000703,0,7,3
0000000704,0,7,4
0000000705,0,7,5
0000000706,0,7,6
0000000707,0,7,7
0000000800,0,8,0
0000000801,0,8,1
0000000802,0,8,2
0000000803,0,8,3
0000000804,0,8,4
0000000805,0,8,5
0000000806,0,8,6
0000000807,0,8,7
0000000900,0,9,0
0000000901,0,9,1
0000000902,0,9,2
0000000903,0,9,3
0000000904,0,9,4
0000000905,0,9,5
0000000906,0,9,6
0000000907,0,9,7
0000001000,0,10,0
0000001001,0,10,1
0000001002,0,10,2
0000001003,0,10,3
0000001004,0,10,4
0000001005,0,10,5
0000001006,0,10,6
0000001007,0,10,7
0000100000,1,0,0
0000100001,1,0,1
0000100002,1,0,2
0000100003,1,0,3
0000100004,1,0,4
0000100005,1,0,5
0000100006,1,0,6
0000100007,1,0,7
0000100100,1,1,0
0000100101,1,1,1
0000100102,1,1,2
0000100103,1,1,3
0000100104,1,1,4
0000100105,1,1,5
0000100106,1,1,6
0000100107,1,1,7
0000100200,1,2,0
0000100201,1,2,1
0000100202,1,2,2
0000100203,1,2,3
0000100204,1,2,4
0000100205,1,2,5
0000100206,1,2,6
0000100207,1,2,7
0000100300,1,3,0
0000100301,1,3,1
0000100302,1,3,2
0000100303,1,3,3
0000100304,1,3,4
0000100305,1,3,5
0000100306,1,3,6
0000100307,1,3,7
0000100400,1,4,0
0000100401,1,4,1
0000100402,1,4,2
0000100403,1,4,3
0000100404,1,4,4
0000100405,1,4,5
0000100406,1,4,6
0000100407,1,4,7
0000100500,1,5,0
0000100501,1,5,1
0000100502,1,5,2
0000100503,1,5,3
0000100504,1,5,4
