carrier_id,parent_carrier_id,location_id,scenario
C003950,C00395,0000500007,1x1_slot_inorder_place_inorder
C003940,C00394,0000500107,1x1_slot_inorder_place_inorder
C003930,C00393,0000500207,1x1_slot_inorder_place_inorder
C003920,C00392,0000500307,1x1_slot_inorder_place_inorder
C003910,C00391,0000500407,1x1_slot_inorder_place_inorder
C003900,C00390,0000500507,1x1_slot_inorder_place_inorder
C003890,C00389,0000500607,1x1_slot_inorder_place_inorder
C003880,C00388,0000500707,1x1_slot_inorder_place_inorder
C003870,C00387,0000500807,1x1_slot_inorder_place_inorder
C003860,C00386,0000500907,1x1_slot_inorder_place_inorder
C003850,C00385,0000501007,1x1_slot_inorder_place_inorder
C003840,C00384,0000400007,1x1_slot_inorder_place_inorder
C003830,C00383,0000400107,1x1_slot_inorder_place_inorder
C003820,C00382,0000400207,1x1_slot_inorder_place_inorder
C003810,C00381,0000400307,1x1_slot_inorder_place_inorder
C003800,C00380,0000400407,1x1_slot_inorder_place_inorder
C003790,C00379,0000400507,1x1_slot_inorder_place_inorder
C003780,C00378,0000400607,1x1_slot_inorder_place_inorder
C003770,C00377,0000400707,1x1_slot_inorder_place_inorder
C003760,C00376,0000400807,1x1_slot_inorder_place_inorder
C003750,C00375,0000400907,1x1_slot_inorder_place_inorder
C003740,C00374,0000401007,1x1_slot_inorder_place_inorder
C003730,C00373,0000300007,1x1_slot_inorder_place_inorder
C003720,C00372,0000300107,1x1_slot_inorder_place_inorder
C003710,C00371,0000300207,1x1_slot_inorder_place_inorder
C003700,C00370,0000300307,1x1_slot_inorder_place_inorder
C003690,C00369,0000300407,1x1_slot_inorder_place_inorder
C003680,C00368,0000300507,1x1_slot_inorder_place_inorder
C003670,C00367,0000300607,1x1_slot_inorder_place_inorder
C003660,C00366,0000300707,1x1_slot_inorder_place_inorder
C003650,C00365,0000300807,1x1_slot_inorder_place_inorder
C003640,C00364,0000300907,1x1_slot_inorder_place_inorder
C003630,C00363,0000301007,1x1_slot_inorder_place_inorder
C003620,C00362,0000500006,1x1_slot_inorder_place_inorder
C003610,C00361,0000500106,1x1_slot_inorder_place_inorder
C003600,C00360,0000500206,1x1_slot_inorder_place_inorder
C003590,C00359,0000500306,1x1_slot_inorder_place_inorder
C003580,C00358,0000500406,1x1_slot_inorder_place_inorder
C003570,C00357,0000500506,1x1_slot_inorder_place_inorder
C003560,C00356,0000500606,1x1_slot_inorder_place_inorder
C003550,C00355,0000500706,1x1_slot_inorder_place_inorder
C003540,C00354,0000500806,1x1_slot_inorder_place_inorder
C003530,C00353,0000500906,1x1_slot_inorder_place_inorder
C003520,C00352,0000501006,1x1_slot_inorder_place_inorder
C003510,C00351,0000400006,1x1_slot_inorder_place_inorder
C003500,C00350,0000400106,1x1_slot_inorder_place_inorder
C003490,C00349,0000400206,1x1_slot_inorder_place_inorder
C003480,C00348,0000400306,1x1_slot_inorder_place_inorder
C003470,C00347,0000400406,1x1_slot_inorder_place_inorder
C003460,C00346,0000400506,1x1_slot_inorder_place_inorder
C003450,C00345,0000400606,1x1_slot_inorder_place_inorder
C003440,C00344,0000400706,1x1_slot_inorder_place_inorder
C003430,C00343,0000400806,1x1_slot_inorder_place_inorder
C003420,C00342,0000400906,1x1_slot_inorder_place_inorder
C003410,C00341,0000401006,1x1_slot_inorder_place_inorder
C003400,C00340,0000300006,1x1_slot_inorder_place_inorder
C003390,C00339,0000300106,1x1_slot_inorder_place_inorder
