location_id,carrier_id,material_id,material_quantity,scenario
0000500007,C003950,NSD2139,38,1x1_slot_inorder_place_inorder
0000500107,C003940,FG61,8,1x1_slot_inorder_place_inorder
0000500207,C003930,FG61,27,1x1_slot_inorder_place_inorder
0000500307,C003920,FG61,27,1x1_slot_inorder_place_inorder
0000500407,C003910,USB38,56,1x1_slot_inorder_place_inorder
0000500507,C003900,KB17U,4,1x1_slot_inorder_place_inorder
0000500607,C003890,KB17U,30,1x1_slot_inorder_place_inorder
0000500707,C003880,GKM911G,8,1x1_slot_inorder_place_inorder
0000500807,C003870,GKM911G,24,1x1_slot_inorder_place_inorder
0000500907,C003860,LED500,60,1x1_slot_inorder_place_inorder
0000501007,C003850,USBA18,46,1x1_slot_inorder_place_inorder
0000400007,C003840,BSF6590,29,1x1_slot_inorder_place_inorder
0000400107,C003830,KH188,6,1x1_slot_inorder_place_inorder
0000400207,C003820,KH188,8,1x1_slot_inorder_place_inorder
0000400307,C003810,KH188,8,1x1_slot_inorder_place_inorder
0000400407,C003800,KH188,8,1x1_slot_inorder_place_inorder
0000400507,C003790,TB715,36,1x1_slot_inorder_place_inorder
0000400607,C003780,BTS722,35,1x1_slot_inorder_place_inorder
0000400707,C003770,USBNAC01,45,1x1_slot_inorder_place_inorder
0000400807,C003760,FP0876BK,1,1x1_slot_inorder_place_inorder
0000400907,C003750,FP0876BK,4,1x1_slot_inorder_place_inorder
0000401007,C003740,FP0876BK,4,1x1_slot_inorder_place_inorder
0000300007,C003730,FP0876BK,4,1x1_slot_inorder_place_inorder
0000300107,C003720,FP0876BK,4,1x1_slot_inorder_place_inorder
0000300207,C003710,FP0876BK,4,1x1_slot_inorder_place_inorder
0000300307,C003700,FP0876BK,4,1x1_slot_inorder_place_inorder
0000300407,C003690,FP0876BK,4,1x1_slot_inorder_place_inorder
0000300507,C003680,FP0876BK,4,1x1_slot_inorder_place_inorder
0000300607,C003670,PLED424,2,1x1_slot_inorder_place_inorder
0000300707,C003660,PLED424,3,1x1_slot_inorder_place_inorder
0000300807,C003650,PLED424,3,1x1_slot_inorder_place_inorder
0000300907,C003640,PLED424,3,1x1_slot_inorder_place_inorder
0000301007,C003630,PLED424,3,1x1_slot_inorder_place_inorder
0000500006,C003620,PLED424,3,1x1_slot_inorder_place_inorder
0000500106,C003610,PLED424,3,1x1_slot_inorder_place_inorder
0000500206,C003600,PLED424,3,1x1_slot_inorder_place_inorder
0000500306,C003590,PLED424,3,1x1_slot_inorder_place_inorder
0000500406,C003580,PLED424,3,1x1_slot_inorder_place_inorder
0000500506,C003570,RA5515-1,52,1x1_slot_inorder_place_inorder
0000500606,C003560,GKBM881,2,1x1_slot_inorder_place_inorder
0000500706,C003550,GKBM881,18,1x1_slot_inorder_place_inorder
0000500806,C003540,GKBM881,18,1x1_slot_inorder_place_inorder
0000500906,C003530,CG2039,37,1x1_slot_inorder_place_inorder
0000501006,C003520,IFM7001,1,1x1_slot_inorder_place_inorder
0000400006,C003510,IFM7001,2,1x1_slot_inorder_place_inorder
0000400106,C003500,IFM7001,2,1x1_slot_inorder_place_inorder
0000400206,C003490,IFM7001,2,1x1_slot_inorder_place_inorder
0000400306,C003480,IFM7001,2,1x1_slot_inorder_place_inorder
