order_line_id,order_no,material_id,quantity,dest_position,dest_storage_id,update_user,update_time,scenario
6737,0,TRFP051GB,2,,,,2026-01-26 08:17:48.119523,mid_peak
17490,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,large_peak
17491,0,TRFP051GB,2,,,,2026-01-26 08:17:48.119523,large_peak
17492,0,TRFP051Y,1,,,,2026-01-26 08:17:48.119523,large_peak
17493,0,MPP3456,1,,,,2026-01-26 08:17:48.119523,large_peak
9865,0,KH193Y,17,,,,2026-01-26 08:17:48.119523,large_uni
9864,0,KH193B,7,,,,2026-01-26 08:17:48.119523,large_uni
9863,0,CH092,1,,,,2026-01-26 08:17:48.119523,large_uni
12708,0,CH092,1,,,,2026-01-26 08:17:48.119523,large_uni
9849,0,KH193Y,17,,,,2026-01-26 08:17:48.119523,large_uni
9848,0,KH193B,7,,,,2026-01-26 08:17:48.119523,large_uni
9847,0,CH092,1,,,,2026-01-26 08:17:48.119523,large_uni
17538,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,large_peak
12709,0,KH193B,7,,,,2026-01-26 08:17:48.119523,large_uni
17539,0,TRFP051GB,2,,,,2026-01-26 08:17:48.119523,large_peak
17540,0,TRFP051Y,1,,,,2026-01-26 08:17:48.119523,large_peak
17541,0,MPP3456,1,,,,2026-01-26 08:17:48.119523,large_peak
6736,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,mid_peak
12710,0,KH193Y,17,,,,2026-01-26 08:17:48.119523,large_uni
12988,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,large_peak
12989,0,TRFP051GB,2,,,,2026-01-26 08:17:48.119523,large_peak
625,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,small_uni
5631,0,TRFP051GB,2,,,,2026-01-26 08:17:48.119523,mid_peak
12990,0,TRFP051Y,1,,,,2026-01-26 08:17:48.119523,large_peak
12991,0,MPP3456,1,,,,2026-01-26 08:17:48.119523,large_peak
1624,0,TRFP051Y,1,,,,2026-01-26 08:17:48.119523,small_peak
5632,0,TRFP051Y,1,,,,2026-01-26 08:17:48.119523,mid_peak
5630,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,mid_peak
1623,0,TRFP051MT,1,,,,2026-01-26 08:17:48.119523,small_peak
1622,0,TRFP051GB,1,,,,2026-01-26 08:17:48.119523,small_peak
1621,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,small_peak
3854,0,KPB2300W,10,,,,2026-01-26 08:17:48.119523,mid_uni
3855,0,KPB2301W,10,,,,2026-01-26 08:17:48.119523,mid_uni
447,0,TRFP051Y,2,,,,2026-01-26 08:17:48.119523,small_uni
446,0,TRFP051MT,1,,,,2026-01-26 08:17:48.119523,small_uni
445,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,small_uni
5555,0,TRFP051Y,1,,,,2026-01-26 08:17:48.119523,mid_peak
5554,0,TRFP051GB,2,,,,2026-01-26 08:17:48.119523,mid_peak
5553,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,mid_peak
626,0,TRFP051MT,1,,,,2026-01-26 08:17:48.119523,small_uni
2,0,TRFP051Y,2,,,,2026-01-26 08:17:48.119523,small_uni
1,0,TRFP051MT,1,,,,2026-01-26 08:17:48.119523,small_uni
7733,0,CH092,1,,,,2026-01-26 08:17:48.119523,large_uni
7734,0,KH193B,7,,,,2026-01-26 08:17:48.119523,large_uni
7735,0,KH193Y,17,,,,2026-01-26 08:17:48.119523,large_uni
740,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,small_uni
741,0,TRFP051MT,1,,,,2026-01-26 08:17:48.119523,small_uni
742,0,TRFP051Y,2,,,,2026-01-26 08:17:48.119523,small_uni
5428,0,TRFP051Y,1,,,,2026-01-26 08:17:48.119523,mid_peak
5427,0,TRFP051GB,2,,,,2026-01-26 08:17:48.119523,mid_peak
5426,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,mid_peak
5294,0,TRFP051Y,1,,,,2026-01-26 08:17:48.119523,mid_peak
5293,0,TRFP051GB,2,,,,2026-01-26 08:17:48.119523,mid_peak
5292,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,mid_peak
0,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,small_uni
16598,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,large_peak
16599,0,TRFP051GB,2,,,,2026-01-26 08:17:48.119523,large_peak
16600,0,TRFP051Y,1,,,,2026-01-26 08:17:48.119523,large_peak
16601,0,MPP3456,1,,,,2026-01-26 08:17:48.119523,large_peak
6880,0,TRFP051Y,1,,,,2026-01-26 08:17:48.119523,mid_peak
6879,0,TRFP051GB,2,,,,2026-01-26 08:17:48.119523,mid_peak
6878,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,mid_peak
1015,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,small_uni
1016,0,TRFP051MT,1,,,,2026-01-26 08:17:48.119523,small_uni
11273,0,KH193Y,17,,,,2026-01-26 08:17:48.119523,large_uni
11272,0,KH193B,7,,,,2026-01-26 08:17:48.119523,large_uni
11271,0,CH092,1,,,,2026-01-26 08:17:48.119523,large_uni
5955,0,TRFP051Y,1,,,,2026-01-26 08:17:48.119523,mid_peak
5954,0,TRFP051GB,2,,,,2026-01-26 08:17:48.119523,mid_peak
5953,0,TRFP051DB,1,,,,2026-01-26 08:17:48.119523,mid_peak
