order_no,order_date,put_wall_group,create_user,create_time,update_user,update_time,original_order_no,scenario
0,2099-01-01,,Algorithm_Experiment,2099-01-01 08:00:00,,2026-01-26 08:03:39.643153,2411250686,large_peak
0,2099-01-01,,Algorithm_Experiment,2099-01-01 08:00:00,,2026-01-26 08:03:39.643153,2410010254,large_uni
0,2099-01-01,,Algorithm_Experiment,2099-01-01 08:00:00,,2026-01-26 08:03:39.643153,2411250660,mid_peak
0,2099-01-01,,Algorithm_Experiment,2099-01-01 08:00:00,,2026-01-26 08:03:39.643153,2412100390,mid_uni
0,2099-01-01,,Algorithm_Experiment,2099-01-01 08:00:00,,2026-01-26 08:03:39.643153,2411291620,small_peak
0,2099-01-01,,Algorithm_Experiment,2099-01-01 08:00:00,,2026-01-26 08:03:39.643153,2411291631,small_uni
1,2099-01-01,,Algorithm_Experiment,2099-01-01 08:00:00,,2026-01-26 08:03:39.643153,2412130233,large_peak
1,2099-01-01,,Algorithm_Experiment,2099-01-01 08:00:00,,2026-01-26 08:03:39.643153,2411291640,large_uni
1,2099-01-01,,Algorithm_Experiment,2099-01-01 08:00:00,,2026-01-26 08:03:39.643153,2411290235,mid_peak
1,2099-01-01,,Algorithm_Experiment,2099-01-01 08:01:00,,2026-01-26 08:03:39.643153,2412130193,mid_uni
1,2099-01-01,,Algorithm_Experiment,2099-01-01 08:00:00,,2026-01-26 08:03:39.643153,2411291585,small_peak
1,2099-01-01,,Algorithm_Experiment,2099-01-01 08:01:00,,2026-01-26 08:03:39.643153,2411291637,small_uni
10,2099-01-01,,Algorithm_Experiment,2099-01-01 08:01:00,,2026-01-26 08:03:39.643153,2411250665,large_peak
10,2099-01-01,,Algorithm_Experiment,2099-01-01 08:04:00,,2026-01-26 08:03:39.643153,2411010298,large_uni
10,2099-01-01,,Algorithm_Experiment,2099-01-01 08:06:00,,2026-01-26 08:03:39.643153,2411291622,mid_peak
10,2099-01-01,,Algorithm_Experiment,2099-01-01 08:07:00,,2026-01-26 08:03:39.643153,2411060123,mid_uni
10,2099-01-01,,Algorithm_Experiment,2099-01-01 08:06:00,,2026-01-26 08:03:39.643153,2411250658,small_peak
