mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,72,72,(1;0;2),WS 1 (Port 1),5,90,90.0,30.0 + 15.0 + 30.0 + 10.0
2,0,return,72,72,WS 1 (Port 1),(0;0;5),96,166,166.0,30.0 + 10.0 + 30.0
3,1,target,75,75,(1;3;2),WS 1 (Port 2),20,120,120.0,30.0 + 30.0 + 30.0 + 10.0
4,0,return,75,75,WS 1 (Port 2),(0;0;4),180,250,250.0,30.0 + 10.0 + 30.0
5,2,target,79,79,(1;7;2),WS 1 (Port 1),40,160,160.0,30.0 + 50.0 + 30.0 + 10.0
6,1,return,79,79,WS 1 (Port 1),(0;0;3),162,280,280.0,30.0 + 58.0 + 30.0
7,2,target,58,58,(1;8;3),WS 1 (Port 1),205,330,330.0,30.0 + 55.0 + 30.0 + 10.0
8,0,return,58,58,WS 1 (Port 1),(0;0;2),338,408,408.0,30.0 + 10.0 + 30.0
9,1,target,57,57,(1;7;3),WS 1 (Port 1),320,440,440.0,30.0 + 50.0 + 30.0 + 10.0
10,0,return,57,57,WS 1 (Port 1),(0;0;1),448,518,518.0,30.0 + 10.0 + 30.0
11,2,target,59,59,(1;9;3),WS 1 (Port 1),380,510,510.0,30.0 + 60.0 + 30.0 + 10.0
12,1,return,59,59,WS 1 (Port 1),(0;0;0),518,588,588.0,30.0 + 10.0 + 30.0
13,2,target,71,71,(2;10;2),WS 1 (Port 1),570,710,710.0,30.0 + 70.0 + 30.0 + 10.0
14,0,return,71,71,WS 1 (Port 1),(0;1;5),718,793,793.0,30.0 + 15.0 + 30.0
