mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,384,158,(4;1;0),(0;0;5),25,110,110.0,30.0 + 25.0 + 30.0
2,1,reshuffle,227,158,(4;1;1),(0;0;4),55,140,140.0,30.0 + 25.0 + 30.0
3,2,reshuffle,172,158,(4;1;2),(0;0;3),85,170,170.0,30.0 + 25.0 + 30.0
4,0,target,158,158,(4;1;3),WS 2 (Port 1),135,245,245.0,30.0 + 40.0 + 30.0 + 10.0
5,0,return,158,158,WS 2 (Port 1),(0;0;2),249,324,324.0,30.0 + 15.0 + 30.0
6,1,reshuffle,31,105,(3;3;1),(0;0;1),170,354,354.0,30.0 + 124.0 + 30.0
7,2,reshuffle,0,105,(3;3;2),(0;0;0),200,384,384.0,30.0 + 124.0 + 30.0
8,0,reshuffle,331,105,(3;3;3),(0;1;5),354,439,439.0,30.0 + 25.0 + 30.0
9,1,reshuffle,185,105,(3;3;4),(0;1;4),384,469,469.0,30.0 + 25.0 + 30.0
10,2,reshuffle,138,105,(3;3;5),(0;1;3),414,499,499.0,30.0 + 25.0 + 30.0
11,0,target,105,105,(3;3;6),WS 2 (Port 1),464,579,579.0,30.0 + 45.0 + 30.0 + 10.0
12,0,return,105,105,WS 2 (Port 1),(0;1;2),603,683,683.0,30.0 + 20.0 + 30.0
13,1,reshuffle,32,106,(3;4;1),(0;1;1),499,713,713.0,30.0 + 154.0 + 30.0
14,2,reshuffle,1,106,(3;4;2),(0;1;0),529,743,743.0,30.0 + 154.0 + 30.0
15,0,reshuffle,332,106,(3;4;3),(0;2;5),713,798,798.0,30.0 + 25.0 + 30.0
16,1,reshuffle,186,106,(3;4;4),(0;2;4),743,828,828.0,30.0 + 25.0 + 30.0
17,2,reshuffle,139,106,(3;4;5),(0;2;3),773,858,858.0,30.0 + 25.0 + 30.0
18,0,target,106,106,(3;4;6),WS 2 (Port 1),823,943,943.0,30.0 + 50.0 + 30.0 + 10.0
19,0,return,106,106,WS 2 (Port 1),(1;0;1),967,1047,1047.0,30.0 + 20.0 + 30.0
20,1,reshuffle,33,107,(3;5;1),(0;2;2),858,948,948.0,30.0 + 30.0 + 30.0
21,2,reshuffle,2,107,(3;5;2),(0;2;1),888,978,978.0,30.0 + 30.0 + 30.0
22,1,reshuffle,333,107,(3;5;3),(0;2;0),978,1068,1068.0,30.0 + 30.0 + 30.0
23,2,reshuffle,187,107,(3;5;4),(0;3;5),1008,1093,1093.0,30.0 + 25.0 + 30.0
24,0,reshuffle,140,107,(3;5;5),(0;3;4),1082,1167,1167.0,30.0 + 25.0 + 30.0
25,1,target,107,107,(3;5;6),WS 2 (Port 1),1112,1237,1237.0,30.0 + 55.0 + 30.0 + 10.0
26,0,return,107,107,WS 2 (Port 1),(1;0;0),1259,1339,1339.0,30.0 + 20.0 + 30.0
27,2,reshuffle,383,157,(4;0;0),(0;3;3),1128,1223,1223.0,30.0 + 35.0 + 30.0
28,2,reshuffle,226,157,(4;0;1),(0;3;2),1258,1353,1353.0,30.0 + 35.0 + 30.0
29,1,reshuffle,171,157,(4;0;2),(0;3;1),1288,1383,1383.0,30.0 + 35.0 + 30.0
30,0,target,157,157,(4;0;3),WS 2 (Port 1),1354,1459,1459.0,30.0 + 35.0 + 30.0 + 10.0
31,0,return,157,157,WS 2 (Port 1),(1;1;1),1461,1546,1546.0,30.0 + 25.0 + 30.0
