mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,31,0,(3;3;1),(0;0;5),30,120,120.0,30.0 + 30.0 + 30.0
2,1,target,0,0,(3;3;2),WS 1 (Port 1),60,170,170.0,30.0 + 40.0 + 30.0 + 10.0
3,0,return,0,0,WS 1 (Port 1),(0;0;4),172,242,242.0,30.0 + 10.0 + 30.0
4,2,reshuffle,373,147,(5;1;0),(0;0;3),30,272,272.0,30.0 + 182.0 + 30.0
5,1,reshuffle,216,147,(5;1;1),(0;0;2),200,302,302.0,30.0 + 42.0 + 30.0
6,0,reshuffle,161,147,(5;1;2),(0;0;1),272,362,362.0,30.0 + 30.0 + 30.0
7,2,target,147,147,(5;1;3),WS 1 (Port 1),302,412,412.0,30.0 + 40.0 + 30.0 + 10.0
8,0,return,147,147,WS 1 (Port 1),(0;0;0),430,500,500.0,30.0 + 10.0 + 30.0
9,1,target,79,79,(1;7;2),WS 2 (Port 1),342,467,467.0,30.0 + 55.0 + 30.0 + 10.0
10,1,return,79,79,WS 2 (Port 1),(0;1;5),487,567,567.0,30.0 + 20.0 + 30.0
