mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,34,34,(3;6;1),WS 1 (Port 1),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
2,0,return,34,34,WS 1 (Port 1),(0;0;5),178,248,248.0,30.0 + 10.0 + 30.0
3,1,target,31,31,(3;3;1),WS 1 (Port 2),30,140,140.0,30.0 + 40.0 + 30.0 + 10.0
4,1,return,31,31,WS 1 (Port 2),(0;0;4),152,278,278.0,30.0 + 66.0 + 30.0
5,2,target,33,33,(3;5;1),WS 1 (Port 3),40,160,160.0,30.0 + 50.0 + 30.0 + 10.0
6,2,return,33,33,WS 1 (Port 3),(0;0;3),164,308,308.0,30.0 + 84.0 + 30.0
7,0,target,35,35,(3;7;1),WS 1 (Port 1),298,428,428.0,30.0 + 60.0 + 30.0 + 10.0
8,0,return,35,35,WS 1 (Port 1),(0;0;2),436,506,506.0,30.0 + 10.0 + 30.0
9,1,target,36,36,(3;8;1),WS 1 (Port 2),333,468,468.0,30.0 + 65.0 + 30.0 + 10.0
10,1,return,36,36,WS 1 (Port 2),(0;0;1),476,546,546.0,30.0 + 10.0 + 30.0
11,2,target,37,37,(3;9;1),WS 1 (Port 1),368,508,508.0,30.0 + 70.0 + 30.0 + 10.0
12,0,return,37,37,WS 1 (Port 1),(0;0;0),516,586,586.0,30.0 + 10.0 + 30.0
13,2,target,38,38,(3;10;1),WS 1 (Port 1),573,718,718.0,30.0 + 75.0 + 30.0 + 10.0
14,0,return,38,38,WS 1 (Port 1),(0;1;5),722,797,797.0,30.0 + 15.0 + 30.0
