mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,78,56,(1;6;2),(0;0;5),35,130,130.0,30.0 + 35.0 + 30.0
2,1,target,56,56,(1;6;3),WS 2 (Port 1),65,185,185.0,30.0 + 50.0 + 30.0 + 10.0
3,0,return,56,56,WS 2 (Port 1),(0;0;4),189,264,264.0,30.0 + 15.0 + 30.0
4,1,reshuffle,63,10,(2;2;2),(0;0;3),210,294,294.0,30.0 + 24.0 + 30.0
5,2,reshuffle,41,10,(2;2;3),(0;1;5),240,315,315.0,30.0 + 15.0 + 30.0
6,0,target,10,10,(2;2;4),WS 1 (Port 1),284,384,384.0,30.0 + 30.0 + 30.0 + 10.0
7,0,return,10,10,WS 1 (Port 1),(0;1;4),408,483,483.0,30.0 + 15.0 + 30.0
8,1,reshuffle,79,57,(1;7;2),(0;1;3),334,513,513.0,30.0 + 119.0 + 30.0
9,2,target,57,57,(1;7;3),WS 2 (Port 1),364,489,489.0,30.0 + 55.0 + 30.0 + 10.0
10,2,return,57,57,WS 2 (Port 1),(0;1;2),497,577,577.0,30.0 + 20.0 + 30.0
11,0,target,58,58,(1;8;3),WS 2 (Port 1),523,653,653.0,30.0 + 60.0 + 30.0 + 10.0
12,0,return,58,58,WS 2 (Port 1),(0;1;1),661,741,741.0,30.0 + 20.0 + 30.0
13,1,target,59,59,(1;9;3),WS 2 (Port 2),558,693,693.0,30.0 + 65.0 + 30.0 + 10.0
14,1,return,59,59,WS 2 (Port 2),(0;1;0),701,781,781.0,30.0 + 20.0 + 30.0
15,2,target,60,60,(1;10;3),WS 2 (Port 1),627,767,767.0,30.0 + 70.0 + 30.0 + 10.0
16,0,return,60,60,WS 2 (Port 1),(1;0;1),775,855,855.0,30.0 + 20.0 + 30.0
17,2,target,61,61,(2;0;2),WS 2 (Port 1),782,877,877.0,30.0 + 25.0 + 30.0 + 10.0
18,0,return,61,61,WS 2 (Port 1),(1;0;0),885,965,965.0,30.0 + 20.0 + 30.0
19,1,target,62,62,(2;1;2),WS 2 (Port 2),791,891,891.0,30.0 + 30.0 + 30.0 + 10.0
20,1,return,62,62,WS 2 (Port 2),(0;2;5),899,984,984.0,30.0 + 25.0 + 30.0
21,2,target,63,63,(0;0;3),WS 2 (Port 1),882,967,967.0,30.0 + 15.0 + 30.0 + 10.0
22,2,return,63,63,WS 2 (Port 1),(0;0;3),971,1046,1046.0,30.0 + 15.0 + 30.0
