mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,79,57,(1;7;2),(0;0;5),40,140,140.0,30.0 + 40.0 + 30.0
2,1,target,57,57,(1;7;3),WS 1 (Port 1),70,190,190.0,30.0 + 50.0 + 30.0 + 10.0
3,0,return,57,57,WS 1 (Port 1),(0;0;4),198,268,268.0,30.0 + 10.0 + 30.0
4,2,target,58,58,(1;8;3),WS 1 (Port 2),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
5,1,return,58,58,WS 1 (Port 2),(0;0;3),180,298,298.0,30.0 + 58.0 + 30.0
6,2,target,59,59,(1;9;3),WS 1 (Port 1),220,350,350.0,30.0 + 60.0 + 30.0 + 10.0
7,0,return,59,59,WS 1 (Port 1),(0;0;2),358,428,428.0,30.0 + 10.0 + 30.0
8,1,target,71,71,(2;10;2),WS 1 (Port 1),358,498,498.0,30.0 + 70.0 + 30.0 + 10.0
9,0,return,71,71,WS 1 (Port 1),(0;0;1),506,576,576.0,30.0 + 10.0 + 30.0
10,2,target,73,73,(1;1;2),WS 1 (Port 2),360,450,450.0,30.0 + 20.0 + 30.0 + 10.0
11,1,return,73,73,WS 1 (Port 2),(0;0;0),488,606,606.0,30.0 + 58.0 + 30.0
12,2,target,75,75,(1;3;2),WS 1 (Port 1),470,570,570.0,30.0 + 30.0 + 30.0 + 10.0
13,0,return,75,75,WS 1 (Port 1),(0;1;5),672,747,747.0,30.0 + 15.0 + 30.0
14,2,reshuffle,392,180,(4;9;1),(0;1;4),635,777,777.0,30.0 + 82.0 + 30.0
15,1,reshuffle,326,180,(4;9;2),(0;1;3),671,807,807.0,30.0 + 76.0 + 30.0
16,0,reshuffle,235,180,(4;9;3),(0;1;2),807,927,927.0,30.0 + 60.0 + 30.0
17,2,target,180,180,(4;9;4),WS 1 (Port 1),837,982,982.0,30.0 + 75.0 + 30.0 + 10.0
18,0,return,180,180,WS 1 (Port 1),(0;1;1),990,1065,1065.0,30.0 + 15.0 + 30.0
