mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,9,174,(5;1;0),(0;0;7),30,120,120.0,30.0 + 30.0 + 30.0
2,1,target,174,174,(5;1;1),WS 1 (Port 1),60,170,170.0,30.0 + 40.0 + 30.0 + 10.0
3,0,return,174,174,WS 1 (Port 1),(0;0;6),190,260,260.0,30.0 + 10.0 + 30.0
4,1,reshuffle,31,75,(2;1;1),(0;0;5),185,290,290.0,30.0 + 45.0 + 30.0
5,2,reshuffle,53,75,(2;1;2),(0;0;4),215,320,320.0,30.0 + 45.0 + 30.0
6,0,target,75,75,(2;1;3),WS 1 (Port 1),275,370,370.0,30.0 + 25.0 + 30.0 + 10.0
7,0,return,75,75,WS 1 (Port 1),(0;0;3),378,448,448.0,30.0 + 10.0 + 30.0
8,1,reshuffle,32,76,(2;0;1),(0;0;2),300,478,478.0,30.0 + 118.0 + 30.0
9,2,reshuffle,54,76,(2;0;2),(0;0;1),330,508,508.0,30.0 + 118.0 + 30.0
10,0,target,76,76,(2;0;3),WS 1 (Port 1),458,548,548.0,30.0 + 20.0 + 30.0 + 10.0
11,0,return,76,76,WS 1 (Port 1),(0;0;0),560,630,630.0,30.0 + 10.0 + 30.0
