mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,161,161,(4;3;1),WS 2 (Port 1),35,155,155.0,30.0 + 50.0 + 30.0 + 10.0
2,0,return,161,161,WS 2 (Port 1),(0;0;7),161,236,236.0,30.0 + 15.0 + 30.0
3,1,target,158,158,(4;6;1),WS 2 (Port 2),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
4,1,return,158,158,WS 2 (Port 2),(0;0;6),193,268,268.0,30.0 + 15.0 + 30.0
5,2,target,157,157,(4;7;1),WS 2 (Port 3),55,195,195.0,30.0 + 70.0 + 30.0 + 10.0
6,2,return,157,157,WS 2 (Port 3),(0;0;5),197,298,298.0,30.0 + 41.0 + 30.0
7,0,target,159,159,(4;5;1),WS 2 (Port 1),281,411,411.0,30.0 + 60.0 + 30.0 + 10.0
8,0,return,159,159,WS 2 (Port 1),(0;0;4),419,494,494.0,30.0 + 15.0 + 30.0
9,1,target,160,160,(4;4;1),WS 2 (Port 2),308,433,433.0,30.0 + 55.0 + 30.0 + 10.0
10,1,return,160,160,WS 2 (Port 2),(0;0;3),441,524,524.0,30.0 + 23.0 + 30.0
11,2,target,24,24,(2;8;1),WS 1 (Port 1),348,478,478.0,30.0 + 60.0 + 30.0 + 10.0
12,2,return,24,24,WS 1 (Port 1),(0;0;2),502,572,572.0,30.0 + 10.0 + 30.0
