mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,142,142,(3;1;4),WS 2 (Port 1),20,125,125.0,30.0 + 35.0 + 30.0 + 10.0
2,0,return,142,142,WS 2 (Port 1),(1;0;1),285,365,365.0,30.0 + 20.0 + 30.0
3,1,target,27,27,(5;3;0),WS 2 (Port 2),40,165,165.0,30.0 + 55.0 + 30.0 + 10.0
4,1,transfer,27,27,WS 2 (Port 2),WS 2 (Port 3),193,253,253.0,30.0 + 0.0 + 30.0
5,1,return,27,27,WS 2 (Port 3),(1;0;0),291,395,395.0,30.0 + 44.0 + 30.0
6,2,reshuffle,79,209,(2;0;1),(0;2;4),10,90,90.0,30.0 + 20.0 + 30.0
7,2,reshuffle,282,209,(2;0;2),(0;2;3),110,190,190.0,30.0 + 20.0 + 30.0
8,2,reshuffle,310,209,(2;0;3),(0;2;2),210,290,290.0,30.0 + 20.0 + 30.0
9,2,target,209,209,(2;0;4),WS 2 (Port 1),310,405,405.0,30.0 + 25.0 + 30.0 + 10.0
10,0,return,209,209,WS 2 (Port 1),(0;2;1),469,554,554.0,30.0 + 25.0 + 30.0
