mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,10,10,(5;0;0),WS 1 (Port 1),25,130,130.0,30.0 + 35.0 + 30.0 + 10.0
2,0,transfer,10,10,WS 1 (Port 1),WS 2 (Port 1),166,231,231.0,30.0 + 5.0 + 30.0
3,0,return,10,10,WS 2 (Port 1),(0;0;7),277,352,352.0,30.0 + 15.0 + 30.0
4,1,target,11,11,(1;10;1),WS 1 (Port 2),55,190,190.0,30.0 + 65.0 + 30.0 + 10.0
5,1,return,11,11,WS 1 (Port 2),(0;0;6),210,382,382.0,30.0 + 112.0 + 30.0
6,2,reshuffle,25,190,(2;7;1),(0;0;5),45,412,412.0,30.0 + 307.0 + 30.0
7,0,reshuffle,47,190,(2;7;2),(0;0;4),397,502,502.0,30.0 + 45.0 + 30.0
8,1,reshuffle,69,190,(2;7;3),(0;0;3),427,532,532.0,30.0 + 45.0 + 30.0
9,2,reshuffle,91,190,(2;7;4),(0;0;2),457,562,562.0,30.0 + 45.0 + 30.0
10,0,reshuffle,113,190,(2;7;5),(0;0;1),547,652,652.0,30.0 + 45.0 + 30.0
11,1,reshuffle,135,190,(2;7;6),(0;0;0),577,682,682.0,30.0 + 45.0 + 30.0
12,2,target,190,190,(2;7;7),WS 2 (Port 1),607,737,737.0,30.0 + 60.0 + 30.0 + 10.0
13,0,return,190,190,WS 2 (Port 1),(0;1;7),745,825,825.0,30.0 + 20.0 + 30.0
