mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,23,23,(2;9;1),WS 2 (Port 1),55,195,195.0,30.0 + 70.0 + 30.0 + 10.0
2,0,return,23,23,WS 2 (Port 1),(0;0;7),201,276,276.0,30.0 + 15.0 + 30.0
3,1,target,24,24,(2;8;1),WS 2 (Port 2),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
4,1,return,24,24,WS 2 (Port 2),(0;0;6),189,306,306.0,30.0 + 57.0 + 30.0
5,2,reshuffle,31,119,(2;1;1),(0;0;5),15,336,336.0,30.0 + 261.0 + 30.0
6,0,reshuffle,53,119,(2;1;2),(0;0;4),291,366,366.0,30.0 + 15.0 + 30.0
7,1,reshuffle,75,119,(2;1;3),(0;0;3),321,396,396.0,30.0 + 15.0 + 30.0
8,2,reshuffle,97,119,(2;1;4),(0;0;2),351,426,426.0,30.0 + 15.0 + 30.0
9,0,target,119,119,(2;1;5),WS 2 (Port 1),381,481,481.0,30.0 + 30.0 + 30.0 + 10.0
10,0,return,119,119,WS 2 (Port 1),(0;0;1),487,562,562.0,30.0 + 15.0 + 30.0
11,1,reshuffle,153,241,(3;0;1),(0;0;0),411,592,592.0,30.0 + 121.0 + 30.0
12,2,reshuffle,208,241,(3;0;2),(0;1;7),441,521,521.0,30.0 + 20.0 + 30.0
13,2,target,241,241,(3;0;3),WS 2 (Port 1),541,641,641.0,30.0 + 30.0 + 30.0 + 10.0
14,0,return,241,241,WS 2 (Port 1),(0;1;6),671,751,751.0,30.0 + 20.0 + 30.0
