mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,158,158,(4;6;1),WS 2 (Port 1),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
2,0,return,158,158,WS 2 (Port 1),(0;0;7),189,264,264.0,30.0 + 15.0 + 30.0
3,1,target,160,160,(4;4;1),WS 2 (Port 2),40,165,165.0,30.0 + 55.0 + 30.0 + 10.0
4,1,return,160,160,WS 2 (Port 2),(0;0;6),173,294,294.0,30.0 + 61.0 + 30.0
5,2,target,161,161,(4;3;1),WS 2 (Port 3),35,155,155.0,30.0 + 50.0 + 30.0 + 10.0
6,2,return,161,161,WS 2 (Port 3),(0;0;5),163,324,324.0,30.0 + 101.0 + 30.0
7,0,target,162,162,(4;2;1),WS 2 (Port 1),294,409,409.0,30.0 + 45.0 + 30.0 + 10.0
8,0,return,162,162,WS 2 (Port 1),(0;0;4),417,492,492.0,30.0 + 15.0 + 30.0
9,1,target,163,163,(4;1;1),WS 2 (Port 2),319,429,429.0,30.0 + 40.0 + 30.0 + 10.0
10,1,return,163,163,WS 2 (Port 2),(0;0;3),437,522,522.0,30.0 + 25.0 + 30.0
11,2,target,164,164,(4;0;1),WS 2 (Port 3),344,449,449.0,30.0 + 35.0 + 30.0 + 10.0
12,2,return,164,164,WS 2 (Port 3),(0;0;2),457,552,552.0,30.0 + 35.0 + 30.0
