mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,30,118,(2;2;1),(0;0;7),20,100,100.0,30.0 + 20.0 + 30.0
2,1,reshuffle,52,118,(2;2;2),(0;0;6),50,130,130.0,30.0 + 20.0 + 30.0
3,2,reshuffle,74,118,(2;2;3),(0;0;5),80,160,160.0,30.0 + 20.0 + 30.0
4,0,reshuffle,96,118,(2;2;4),(0;0;4),120,200,200.0,30.0 + 20.0 + 30.0
5,1,target,118,118,(2;2;5),WS 1 (Port 1),150,250,250.0,30.0 + 30.0 + 30.0 + 10.0
6,0,return,118,118,WS 1 (Port 1),(0;0;3),254,324,324.0,30.0 + 10.0 + 30.0
7,2,target,157,157,(4;7;1),WS 1 (Port 1),215,350,350.0,30.0 + 65.0 + 30.0 + 10.0
8,0,return,157,157,WS 1 (Port 1),(0;0;2),352,422,422.0,30.0 + 10.0 + 30.0
9,1,target,158,158,(4;6;1),WS 1 (Port 1),300,430,430.0,30.0 + 60.0 + 30.0 + 10.0
10,0,return,158,158,WS 1 (Port 1),(0;0;1),438,508,508.0,30.0 + 10.0 + 30.0
11,2,target,159,159,(4;5;1),WS 1 (Port 1),395,520,520.0,30.0 + 55.0 + 30.0 + 10.0
12,0,return,159,159,WS 1 (Port 1),(0;0;0),528,598,598.0,30.0 + 10.0 + 30.0
13,1,target,160,160,(4;4;1),WS 1 (Port 1),470,590,590.0,30.0 + 50.0 + 30.0 + 10.0
14,1,return,160,160,WS 1 (Port 1),(0;1;7),598,673,673.0,30.0 + 15.0 + 30.0
15,2,target,161,161,(4;3;1),WS 1 (Port 1),555,670,670.0,30.0 + 45.0 + 30.0 + 10.0
16,0,return,161,161,WS 1 (Port 1),(0;1;6),678,753,753.0,30.0 + 15.0 + 30.0
17,1,target,162,162,(4;2;1),WS 1 (Port 1),698,808,808.0,30.0 + 40.0 + 30.0 + 10.0
18,0,return,162,162,WS 1 (Port 1),(0;1;5),816,891,891.0,30.0 + 15.0 + 30.0
19,2,target,163,163,(4;1;1),WS 1 (Port 2),695,800,800.0,30.0 + 35.0 + 30.0 + 10.0
20,1,return,163,163,WS 1 (Port 2),(0;1;4),806,921,921.0,30.0 + 55.0 + 30.0
