mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,183,183,(3;5;2),WS 1 (Port 1),40,160,160.0,30.0 + 50.0 + 30.0 + 10.0
2,0,return,183,183,WS 1 (Port 1),(1;0;1),168,243,243.0,30.0 + 15.0 + 30.0
3,1,target,189,189,(0;5;0),WS 1 (Port 2),25,130,130.0,30.0 + 35.0 + 30.0 + 10.0
4,1,return,189,189,WS 1 (Port 2),(1;0;0),146,273,273.0,30.0 + 67.0 + 30.0
5,2,target,36,36,(1;9;0),WS 1 (Port 3),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
6,2,return,36,36,WS 1 (Port 3),(0;2;4),188,268,268.0,30.0 + 20.0 + 30.0
7,0,target,40,40,(1;1;3),WS 1 (Port 1),248,338,338.0,30.0 + 20.0 + 30.0 + 10.0
8,0,return,40,40,WS 1 (Port 1),(0;2;3),346,426,426.0,30.0 + 20.0 + 30.0
9,1,target,44,44,(2;1;2),WS 1 (Port 2),283,378,378.0,30.0 + 25.0 + 30.0 + 10.0
10,1,return,44,44,WS 1 (Port 2),(0;2;2),386,466,466.0,30.0 + 20.0 + 30.0
11,2,target,45,45,(5;2;5),WS 1 (Port 1),293,408,408.0,30.0 + 45.0 + 30.0 + 10.0
12,2,return,45,45,WS 1 (Port 1),(0;2;1),412,496,496.0,30.0 + 24.0 + 30.0
13,0,target,47,47,(1;6;5),WS 1 (Port 1),451,566,566.0,30.0 + 45.0 + 30.0 + 10.0
14,0,return,47,47,WS 1 (Port 1),(0;2;0),574,654,654.0,30.0 + 20.0 + 30.0
