mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,52,103,(0;3;3),(0;2;4),15,80,80.0,30.0 + 5.0 + 30.0
2,1,reshuffle,371,103,(0;3;4),(0;2;3),45,110,110.0,30.0 + 5.0 + 30.0
3,2,reshuffle,146,103,(0;3;5),(0;2;2),75,140,140.0,30.0 + 5.0 + 30.0
4,0,target,103,103,(0;3;6),WS 2 (Port 1),105,205,205.0,30.0 + 30.0 + 30.0 + 10.0
5,0,return,103,103,WS 2 (Port 1),(1;0;1),209,289,289.0,30.0 + 20.0 + 30.0
6,1,reshuffle,83,32,(2;6;1),(0;2;1),140,230,230.0,30.0 + 30.0 + 30.0
7,2,target,32,32,(2;6;2),WS 2 (Port 1),170,295,295.0,30.0 + 55.0 + 30.0 + 10.0
8,1,return,32,32,WS 2 (Port 1),(1;0;0),301,381,381.0,30.0 + 20.0 + 30.0
9,0,reshuffle,27,152,(5;3;0),(0;2;0),324,414,414.0,30.0 + 30.0 + 30.0
10,2,reshuffle,61,152,(5;3;1),(0;3;6),354,439,439.0,30.0 + 25.0 + 30.0
11,1,reshuffle,217,152,(5;3;2),(0;3;5),416,501,501.0,30.0 + 25.0 + 30.0
12,0,reshuffle,17,152,(5;3;3),(0;3;4),446,531,531.0,30.0 + 25.0 + 30.0
13,2,target,152,152,(5;3;4),WS 2 (Port 1),476,601,601.0,30.0 + 55.0 + 30.0 + 10.0
14,0,return,152,152,WS 2 (Port 1),(1;1;2),611,696,696.0,30.0 + 25.0 + 30.0
15,1,reshuffle,279,126,(4;9;0),(0;3;3),551,661,661.0,30.0 + 50.0 + 30.0
16,2,reshuffle,309,126,(4;9;1),(0;3;2),671,781,781.0,30.0 + 50.0 + 30.0
17,1,target,126,126,(4;9;2),WS 2 (Port 1),711,861,861.0,30.0 + 80.0 + 30.0 + 10.0
18,0,return,126,126,WS 2 (Port 1),(1;1;1),887,972,972.0,30.0 + 25.0 + 30.0
