mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,368,73,(2;2;0),(0;2;4),20,90,90.0,30.0 + 10.0 + 30.0
2,1,target,73,73,(2;2;1),WS 1 (Port 1),50,150,150.0,30.0 + 30.0 + 30.0 + 10.0
3,0,return,73,73,WS 1 (Port 1),(1;0;1),158,233,233.0,30.0 + 15.0 + 30.0
4,2,target,128,128,(3;4;4),WS 1 (Port 2),35,150,150.0,30.0 + 45.0 + 30.0 + 10.0
5,1,return,128,128,WS 1 (Port 2),(1;0;0),196,271,271.0,30.0 + 15.0 + 30.0
6,2,target,71,71,(2;10;5),WS 1 (Port 1),210,350,350.0,30.0 + 70.0 + 30.0 + 10.0
7,0,return,71,71,WS 1 (Port 1),(0;2;3),358,438,438.0,30.0 + 20.0 + 30.0
8,1,target,56,56,(0;0;0),WS 1 (Port 2),276,356,356.0,30.0 + 10.0 + 30.0 + 10.0
9,1,return,56,56,WS 1 (Port 2),(0;0;0),358,428,428.0,30.0 + 10.0 + 30.0
10,2,target,57,57,(4;7;1),WS 1 (Port 1),405,540,540.0,30.0 + 65.0 + 30.0 + 10.0
11,0,return,57,57,WS 1 (Port 1),(0;2;2),548,628,628.0,30.0 + 20.0 + 30.0
12,1,target,59,59,(4;0;6),WS 1 (Port 2),448,548,548.0,30.0 + 30.0 + 30.0 + 10.0
13,1,return,59,59,WS 1 (Port 2),(0;2;1),556,658,658.0,30.0 + 42.0 + 30.0
14,2,target,79,79,(2;0;1),WS 2 (Port 1),550,645,645.0,30.0 + 25.0 + 30.0 + 10.0
15,0,return,79,79,WS 2 (Port 1),(0;2;0),665,750,750.0,30.0 + 25.0 + 30.0
