mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,386,75,(1;2;4),(0;2;4),15,80,80.0,30.0 + 5.0 + 30.0
2,1,reshuffle,186,75,(1;2;5),(0;2;3),45,110,110.0,30.0 + 5.0 + 30.0
3,2,reshuffle,395,75,(1;2;6),(0;2;2),75,140,140.0,30.0 + 5.0 + 30.0
4,0,target,75,75,(1;2;7),WS 2 (Port 1),105,205,205.0,30.0 + 30.0 + 30.0 + 10.0
5,0,return,75,75,WS 2 (Port 1),(1;0;1),213,293,293.0,30.0 + 20.0 + 30.0
6,1,reshuffle,327,76,(3;6;0),(0;2;1),145,240,240.0,30.0 + 35.0 + 30.0
7,2,target,76,76,(3;6;1),WS 2 (Port 1),175,305,305.0,30.0 + 60.0 + 30.0 + 10.0
8,1,return,76,76,WS 2 (Port 1),(1;0;0),309,389,389.0,30.0 + 20.0 + 30.0
9,0,reshuffle,279,126,(4;9;0),(0;2;0),353,468,468.0,30.0 + 55.0 + 30.0
10,2,reshuffle,309,126,(4;9;1),(0;3;2),383,493,493.0,30.0 + 50.0 + 30.0
11,1,target,126,126,(4;9;2),WS 2 (Port 1),449,599,599.0,30.0 + 80.0 + 30.0 + 10.0
12,0,return,126,126,WS 2 (Port 1),(1;1;2),647,732,732.0,30.0 + 25.0 + 30.0
13,2,reshuffle,16,127,(4;2;0),(0;3;1),518,603,603.0,30.0 + 25.0 + 30.0
14,2,reshuffle,287,127,(4;2;1),(0;3;0),628,713,713.0,30.0 + 25.0 + 30.0
15,1,reshuffle,148,127,(4;2;2),(0;6;6),658,758,758.0,30.0 + 40.0 + 30.0
16,2,reshuffle,394,127,(4;2;3),(0;6;5),738,838,838.0,30.0 + 40.0 + 30.0
17,0,reshuffle,226,127,(4;2;4),(0;6;4),768,868,868.0,30.0 + 40.0 + 30.0
18,1,reshuffle,64,127,(4;2;5),(0;6;3),798,898,898.0,30.0 + 40.0 + 30.0
19,2,reshuffle,139,127,(4;2;6),(0;6;2),878,978,978.0,30.0 + 40.0 + 30.0
20,0,target,127,127,(4;2;7),WS 2 (Port 1),908,1023,1023.0,30.0 + 45.0 + 30.0 + 10.0
21,0,return,127,127,WS 2 (Port 1),(1;1;1),1063,1148,1148.0,30.0 + 25.0 + 30.0
