mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,189,189,(0;5;0),WS 2 (Port 1),25,135,135.0,30.0 + 40.0 + 30.0 + 10.0
2,0,return,189,189,WS 2 (Port 1),(1;0;1),137,217,217.0,30.0 + 20.0 + 30.0
3,1,reshuffle,140,252,(0;10;1),(0;2;4),50,150,150.0,30.0 + 40.0 + 30.0
4,2,reshuffle,338,252,(0;10;2),(0;2;3),80,180,180.0,30.0 + 40.0 + 30.0
5,1,target,252,252,(0;10;3),WS 2 (Port 1),190,325,325.0,30.0 + 65.0 + 30.0 + 10.0
6,0,return,252,252,WS 2 (Port 1),(1;0;0),361,441,441.0,30.0 + 20.0 + 30.0
7,2,target,36,36,(1;9;0),WS 2 (Port 2),220,355,355.0,30.0 + 65.0 + 30.0 + 10.0
8,1,return,36,36,WS 2 (Port 2),(0;2;2),357,442,442.0,30.0 + 25.0 + 30.0
9,2,reshuffle,386,186,(1;2;4),(0;2;1),375,472,472.0,30.0 + 37.0 + 30.0
10,1,target,186,186,(1;2;5),WS 2 (Port 1),447,547,547.0,30.0 + 30.0 + 30.0 + 10.0
11,0,return,186,186,WS 2 (Port 1),(0;2;0),551,636,636.0,30.0 + 25.0 + 30.0
