mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,25,25,(2;7;1),WS 1 (Port 1),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
2,0,return,25,25,WS 1 (Port 1),(0;0;7),174,244,244.0,30.0 + 10.0 + 30.0
3,1,target,24,24,(2;8;1),WS 1 (Port 2),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
4,1,return,24,24,WS 1 (Port 2),(0;0;6),212,282,282.0,30.0 + 10.0 + 30.0
5,2,target,5,5,(5;5;0),WS 2 (Port 1),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
6,2,return,5,5,WS 2 (Port 1),(0;0;5),191,312,312.0,30.0 + 61.0 + 30.0
7,0,target,1,1,(5;9;0),WS 2 (Port 1),314,469,469.0,30.0 + 85.0 + 30.0 + 10.0
8,0,return,1,1,WS 2 (Port 1),(0;0;4),477,552,552.0,30.0 + 15.0 + 30.0
9,1,target,8,8,(5;2;0),WS 2 (Port 2),317,437,437.0,30.0 + 50.0 + 30.0 + 10.0
10,1,return,8,8,WS 2 (Port 2),(0;0;3),445,582,582.0,30.0 + 77.0 + 30.0
