mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,275,275,(0;4;0),WS 1 (Port 1),20,120,120.0,30.0 + 30.0 + 30.0 + 10.0
2,0,return,275,275,WS 1 (Port 1),(1;0;1),124,199,199.0,30.0 + 15.0 + 30.0
3,1,reshuffle,101,81,(1;8;1),(0;2;4),45,140,140.0,30.0 + 35.0 + 30.0
4,2,target,81,81,(1;8;2),WS 1 (Port 1),75,200,200.0,30.0 + 55.0 + 30.0 + 10.0
5,1,return,81,81,WS 1 (Port 1),(1;0;0),208,283,283.0,30.0 + 15.0 + 30.0
6,2,reshuffle,189,202,(0;5;0),(0;2;3),225,300,300.0,30.0 + 15.0 + 30.0
7,0,target,202,202,(0;5;1),WS 1 (Port 1),255,360,360.0,30.0 + 35.0 + 30.0 + 10.0
8,0,return,202,202,WS 1 (Port 1),(0;2;2),364,444,444.0,30.0 + 20.0 + 30.0
9,1,target,273,273,(3;10;0),WS 1 (Port 1),343,488,488.0,30.0 + 75.0 + 30.0 + 10.0
10,0,return,273,273,WS 1 (Port 1),(0;2;1),492,572,572.0,30.0 + 20.0 + 30.0
11,2,target,323,323,(3;10;1),WS 1 (Port 2),373,518,518.0,30.0 + 75.0 + 30.0 + 10.0
12,1,return,323,323,WS 1 (Port 2),(0;2;0),520,602,602.0,30.0 + 22.0 + 30.0
