mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,36,36,(1;9;0),WS 1 (Port 1),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
2,0,return,36,36,WS 1 (Port 1),(1;0;1),184,259,259.0,30.0 + 15.0 + 30.0
3,1,target,79,79,(2;0;1),WS 1 (Port 2),10,100,100.0,30.0 + 20.0 + 30.0 + 10.0
4,1,return,79,79,WS 1 (Port 2),(1;0;0),104,289,289.0,30.0 + 125.0 + 30.0
5,2,target,101,101,(1;8;1),WS 1 (Port 2),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
6,2,return,101,101,WS 1 (Port 2),(0;2;4),184,264,264.0,30.0 + 20.0 + 30.0
7,0,target,255,255,(0;1;0),WS 1 (Port 1),269,354,354.0,30.0 + 15.0 + 30.0 + 10.0
8,0,return,255,255,WS 1 (Port 1),(0;1;0),358,433,433.0,30.0 + 15.0 + 30.0
9,2,target,279,279,(4;9;0),WS 1 (Port 1),319,464,464.0,30.0 + 75.0 + 30.0 + 10.0
10,0,return,279,279,WS 1 (Port 1),(0;2;3),468,548,548.0,30.0 + 20.0 + 30.0
