mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,134,1,(1;3;5),(0;2;4),20,90,90.0,30.0 + 10.0 + 30.0
2,1,target,1,1,(1;3;6),WS 1 (Port 1),50,150,150.0,30.0 + 30.0 + 30.0 + 10.0
3,0,return,1,1,WS 1 (Port 1),(1;0;1),158,233,233.0,30.0 + 15.0 + 30.0
4,2,reshuffle,316,5,(1;7;0),(0;2;3),40,130,130.0,30.0 + 30.0 + 30.0
5,2,target,5,5,(1;7;1),WS 1 (Port 1),160,280,280.0,30.0 + 50.0 + 30.0 + 10.0
6,0,return,5,5,WS 1 (Port 1),(1;0;0),284,359,359.0,30.0 + 15.0 + 30.0
7,1,reshuffle,47,14,(1;6;5),(0;2;2),185,270,270.0,30.0 + 25.0 + 30.0
8,1,reshuffle,161,14,(1;6;6),(0;2;1),295,380,380.0,30.0 + 25.0 + 30.0
9,2,target,14,14,(1;6;7),WS 1 (Port 1),325,440,440.0,30.0 + 45.0 + 30.0 + 10.0
10,0,return,14,14,WS 1 (Port 1),(0;2;0),448,528,528.0,30.0 + 20.0 + 30.0
11,1,reshuffle,45,54,(5;2;5),(0;3;2),405,495,495.0,30.0 + 30.0 + 30.0
12,2,reshuffle,245,54,(5;2;6),(0;3;1),475,565,565.0,30.0 + 30.0 + 30.0
13,1,target,54,54,(5;2;7),WS 1 (Port 1),525,640,640.0,30.0 + 45.0 + 30.0 + 10.0
14,0,return,54,54,WS 1 (Port 1),(1;1;2),644,724,724.0,30.0 + 20.0 + 30.0
