mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,44,44,(2;1;2),WS 1 (Port 1),15,110,110.0,30.0 + 25.0 + 30.0 + 10.0
2,0,return,44,44,WS 1 (Port 1),(1;0;1),118,193,193.0,30.0 + 15.0 + 30.0
3,1,target,134,134,(1;3;5),WS 1 (Port 2),20,120,120.0,30.0 + 30.0 + 30.0 + 10.0
4,1,return,134,134,WS 1 (Port 2),(1;0;0),136,223,223.0,30.0 + 27.0 + 30.0
5,2,target,150,150,(1;4;0),WS 1 (Port 3),25,130,130.0,30.0 + 35.0 + 30.0 + 10.0
6,2,return,150,150,WS 1 (Port 3),(0;2;4),138,218,218.0,30.0 + 20.0 + 30.0
7,0,target,193,193,(1;5;0),WS 1 (Port 1),218,328,328.0,30.0 + 40.0 + 30.0 + 10.0
8,0,return,193,193,WS 1 (Port 1),(0;2;3),336,416,416.0,30.0 + 20.0 + 30.0
9,2,target,275,275,(0;4;0),WS 1 (Port 2),228,328,328.0,30.0 + 30.0 + 30.0 + 10.0
10,1,return,275,275,WS 1 (Port 2),(0;2;2),344,446,446.0,30.0 + 42.0 + 30.0
