Combo_Name,Selection_Run_ID,Number_of_Tasks,Makespan,CPU_Time
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313010937,6,278.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313010941,5,211.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313010944,5,215.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313010948,2,315.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313010950,2,245.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313010952,11,461.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313010957,9,401.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011002,5,251.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011005,8,366.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011010,5,223.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011014,16,708.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011023,7,347.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011026,7,327.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011031,8,462.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011035,24,1192.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011047,35,1645.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011059,10,636.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011105,41,1945.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011120,9,522.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011125,2,209.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011127,36,1916.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011130,3,215.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011133,10,520.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011136,5,267.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011140,3,225.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011143,2,285.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011145,23,1158.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011151,6,278.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011155,6,177.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011159,12,634.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011201,7,431.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011205,6,278.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011208,6,277.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011212,12,1191.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011217,5,415.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011220,5,179.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011223,3,215.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011226,5,277.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011229,14,883.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260313011233,5,277.0,0.0
