mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,65,197,(2;4;2),(0;0;5),30,120,120.0,30.0 + 30.0 + 30.0
2,1,reshuffle,43,197,(2;4;3),(0;0;4),60,150,150.0,30.0 + 30.0 + 30.0
3,2,reshuffle,12,197,(2;4;4),(0;0;3),90,180,180.0,30.0 + 30.0 + 30.0
4,0,reshuffle,343,197,(2;4;5),(0;0;2),150,240,240.0,30.0 + 30.0 + 30.0
5,1,target,197,197,(2;4;6),WS 1 (Port 1),180,290,290.0,30.0 + 40.0 + 30.0 + 10.0
6,0,return,197,197,WS 1 (Port 1),(0;0;1),308,378,378.0,30.0 + 10.0 + 30.0
7,2,target,32,32,(3;4;1),WS 2 (Port 1),215,335,335.0,30.0 + 50.0 + 30.0 + 10.0
8,1,return,32,32,WS 2 (Port 1),(0;0;0),343,418,418.0,30.0 + 15.0 + 30.0
9,2,reshuffle,58,27,(1;8;3),(0;1;5),385,485,485.0,30.0 + 40.0 + 30.0
10,0,target,27,27,(1;8;4),WS 2 (Port 1),423,553,553.0,30.0 + 60.0 + 30.0 + 10.0
11,0,return,27,27,WS 2 (Port 1),(0;1;4),569,649,649.0,30.0 + 20.0 + 30.0
12,1,reshuffle,34,141,(3;6;1),(0;1;3),463,679,679.0,30.0 + 156.0 + 30.0
13,2,reshuffle,3,141,(3;6;2),(0;1;2),525,709,709.0,30.0 + 124.0 + 30.0
14,0,reshuffle,334,141,(3;6;3),(0;1;1),689,789,789.0,30.0 + 40.0 + 30.0
15,1,reshuffle,188,141,(3;6;4),(0;1;0),719,819,819.0,30.0 + 40.0 + 30.0
16,2,target,141,141,(3;6;5),WS 1 (Port 1),749,874,874.0,30.0 + 55.0 + 30.0 + 10.0
17,0,return,141,141,WS 1 (Port 1),(1;0;1),944,1019,1019.0,30.0 + 15.0 + 30.0
