mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,75,75,(1;3;2),WS 1 (Port 1),20,120,120.0,30.0 + 30.0 + 30.0 + 10.0
2,0,return,75,75,WS 1 (Port 1),(0;0;5),128,198,198.0,30.0 + 10.0 + 30.0
3,1,target,76,76,(1;4;2),WS 1 (Port 2),25,130,130.0,30.0 + 35.0 + 30.0 + 10.0
4,1,return,76,76,WS 1 (Port 2),(0;0;4),142,228,228.0,30.0 + 26.0 + 30.0
5,2,target,58,58,(1;8;3),WS 2 (Port 1),45,175,175.0,30.0 + 60.0 + 30.0 + 10.0
6,2,return,58,58,WS 2 (Port 1),(0;0;3),183,258,258.0,30.0 + 15.0 + 30.0
7,0,reshuffle,79,57,(1;7;2),(0;0;2),238,338,338.0,30.0 + 40.0 + 30.0
8,1,target,57,57,(1;7;3),WS 2 (Port 1),268,393,393.0,30.0 + 55.0 + 30.0 + 10.0
9,0,return,57,57,WS 2 (Port 1),(0;0;1),401,476,476.0,30.0 + 15.0 + 30.0
10,2,target,59,59,(1;9;3),WS 2 (Port 1),308,443,443.0,30.0 + 65.0 + 30.0 + 10.0
11,1,return,59,59,WS 2 (Port 1),(0;0;0),451,526,526.0,30.0 + 15.0 + 30.0
12,2,target,60,60,(1;10;3),WS 2 (Port 1),503,643,643.0,30.0 + 70.0 + 30.0 + 10.0
13,0,return,60,60,WS 2 (Port 1),(0;1;5),645,725,725.0,30.0 + 20.0 + 30.0
14,1,target,63,63,(2;2;2),WS 2 (Port 2),546,651,651.0,30.0 + 35.0 + 30.0 + 10.0
15,1,return,63,63,WS 2 (Port 2),(0;1;4),659,755,755.0,30.0 + 36.0 + 30.0
16,2,target,71,71,(2;10;2),WS 2 (Port 1),708,853,853.0,30.0 + 75.0 + 30.0 + 10.0
17,0,return,71,71,WS 2 (Port 1),(0;1;3),861,941,941.0,30.0 + 20.0 + 30.0
18,1,target,72,72,(1;0;2),WS 2 (Port 2),765,855,855.0,30.0 + 20.0 + 30.0 + 10.0
19,1,return,72,72,WS 2 (Port 2),(0;1;2),863,971,971.0,30.0 + 48.0 + 30.0
20,2,target,73,73,(1;1;2),WS 2 (Port 1),868,963,963.0,30.0 + 25.0 + 30.0 + 10.0
21,0,return,73,73,WS 2 (Port 1),(0;1;1),971,1051,1051.0,30.0 + 20.0 + 30.0
