mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,35,35,(3;7;1),WS 1 (Port 1),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
2,0,return,35,35,WS 1 (Port 1),(0;0;5),188,258,258.0,30.0 + 10.0 + 30.0
3,1,target,34,34,(3;6;1),WS 1 (Port 2),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
4,1,return,34,34,WS 1 (Port 2),(0;0;4),178,288,288.0,30.0 + 50.0 + 30.0
5,2,target,75,75,(1;3;2),WS 1 (Port 3),20,120,120.0,30.0 + 30.0 + 30.0 + 10.0
6,0,return,75,75,WS 1 (Port 3),(0;0;3),320,390,390.0,30.0 + 10.0 + 30.0
7,2,target,36,36,(3;8;1),WS 1 (Port 1),175,310,310.0,30.0 + 65.0 + 30.0 + 10.0
8,1,return,36,36,WS 1 (Port 1),(0;0;2),318,420,420.0,30.0 + 42.0 + 30.0
9,2,target,33,33,(3;5;1),WS 1 (Port 1),350,470,470.0,30.0 + 50.0 + 30.0 + 10.0
10,0,return,33,33,WS 1 (Port 1),(0;0;1),474,544,544.0,30.0 + 10.0 + 30.0
