mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,70,70,(2;9;2),WS 2 (Port 1),55,195,195.0,30.0 + 70.0 + 30.0 + 10.0
2,0,return,70,70,WS 2 (Port 1),(0;0;5),203,278,278.0,30.0 + 15.0 + 30.0
3,1,target,71,71,(2;10;2),WS 2 (Port 2),60,205,205.0,30.0 + 75.0 + 30.0 + 10.0
4,1,return,71,71,WS 2 (Port 2),(0;0;4),213,308,308.0,30.0 + 35.0 + 30.0
5,2,target,59,59,(1;9;3),WS 2 (Port 3),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
6,2,return,59,59,WS 2 (Port 3),(0;0;3),193,338,338.0,30.0 + 85.0 + 30.0
7,0,target,61,61,(2;0;2),WS 2 (Port 1),288,383,383.0,30.0 + 25.0 + 30.0 + 10.0
8,0,return,61,61,WS 2 (Port 1),(0;0;2),391,466,466.0,30.0 + 15.0 + 30.0
9,1,target,63,63,(2;2;2),WS 2 (Port 1),328,433,433.0,30.0 + 35.0 + 30.0 + 10.0
10,1,return,63,63,WS 2 (Port 1),(0;0;1),441,516,516.0,30.0 + 15.0 + 30.0
11,2,target,79,79,(1;7;2),WS 2 (Port 1),378,503,503.0,30.0 + 55.0 + 30.0 + 10.0
12,0,return,79,79,WS 2 (Port 1),(0;0;0),527,602,602.0,30.0 + 15.0 + 30.0
13,2,target,57,57,(1;7;3),WS 2 (Port 1),548,673,673.0,30.0 + 55.0 + 30.0 + 10.0
14,0,return,57,57,WS 2 (Port 1),(0;1;5),681,761,761.0,30.0 + 20.0 + 30.0
15,1,target,58,58,(1;8;3),WS 2 (Port 2),561,691,691.0,30.0 + 60.0 + 30.0 + 10.0
16,1,return,58,58,WS 2 (Port 2),(0;1;4),699,791,791.0,30.0 + 32.0 + 30.0
