mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,36,36,(3;8;1),WS 2 (Port 1),55,195,195.0,30.0 + 70.0 + 30.0 + 10.0
2,0,return,36,36,WS 2 (Port 1),(0;0;5),199,274,274.0,30.0 + 15.0 + 30.0
3,1,reshuffle,71,49,(2;10;2),(0;0;4),60,304,304.0,30.0 + 184.0 + 30.0
4,2,target,49,49,(2;10;3),WS 2 (Port 2),90,235,235.0,30.0 + 75.0 + 30.0 + 10.0
5,2,return,49,49,WS 2 (Port 2),(0;0;3),243,334,334.0,30.0 + 31.0 + 30.0
6,0,reshuffle,394,135,(3;0;1),(0;0;2),289,364,364.0,30.0 + 15.0 + 30.0
7,1,reshuffle,328,135,(3;0;2),(0;0;1),319,394,394.0,30.0 + 15.0 + 30.0
8,2,reshuffle,237,135,(3;0;3),(0;0;0),349,424,424.0,30.0 + 15.0 + 30.0
9,0,reshuffle,182,135,(3;0;4),(0;1;5),379,459,459.0,30.0 + 20.0 + 30.0
10,1,target,135,135,(3;0;5),WS 2 (Port 1),409,509,509.0,30.0 + 30.0 + 30.0 + 10.0
11,0,return,135,135,WS 2 (Port 1),(0;1;4),719,799,799.0,30.0 + 20.0 + 30.0
12,1,reshuffle,74,206,(1;2;2),(0;1;3),529,829,829.0,30.0 + 240.0 + 30.0
13,2,reshuffle,52,206,(1;2;3),(0;1;2),559,859,859.0,30.0 + 240.0 + 30.0
14,0,reshuffle,21,206,(1;2;4),(0;1;1),809,889,889.0,30.0 + 20.0 + 30.0
15,1,reshuffle,352,206,(1;2;5),(0;1;0),839,919,919.0,30.0 + 20.0 + 30.0
16,2,target,206,206,(1;2;6),WS 2 (Port 1),869,969,969.0,30.0 + 30.0 + 30.0 + 10.0
17,0,return,206,206,WS 2 (Port 1),(1;0;1),1011,1091,1091.0,30.0 + 20.0 + 30.0
