mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,33,33,(3;5;1),WS 2 (Port 1),40,165,165.0,30.0 + 55.0 + 30.0 + 10.0
2,0,return,33,33,WS 2 (Port 1),(0;0;5),169,244,244.0,30.0 + 15.0 + 30.0
3,1,target,34,34,(3;6;1),WS 2 (Port 2),45,175,175.0,30.0 + 60.0 + 30.0 + 10.0
4,1,return,34,34,WS 2 (Port 2),(0;0;4),183,274,274.0,30.0 + 31.0 + 30.0
5,2,target,35,35,(3;7;1),WS 2 (Port 3),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
6,2,return,35,35,WS 2 (Port 3),(0;0;3),189,304,304.0,30.0 + 55.0 + 30.0
7,0,reshuffle,374,82,(5;2;0),(0;0;2),279,374,374.0,30.0 + 35.0 + 30.0
8,1,reshuffle,217,82,(5;2;1),(0;0;1),309,404,404.0,30.0 + 35.0 + 30.0
9,2,reshuffle,162,82,(5;2;2),(0;0;0),339,434,434.0,30.0 + 35.0 + 30.0
10,0,reshuffle,148,82,(5;2;3),(0;1;5),409,499,499.0,30.0 + 30.0 + 30.0
11,1,reshuffle,115,82,(5;2;4),(0;1;4),439,529,529.0,30.0 + 30.0 + 30.0
12,2,target,82,82,(5;2;5),WS 2 (Port 1),469,589,589.0,30.0 + 50.0 + 30.0 + 10.0
13,0,return,82,82,WS 2 (Port 1),(0;1;3),593,673,673.0,30.0 + 20.0 + 30.0
