mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,23,23,(2;9;1),WS 2 (Port 1),55,195,195.0,30.0 + 70.0 + 30.0 + 10.0
2,0,return,23,23,WS 2 (Port 1),(0;0;7),201,276,276.0,30.0 + 15.0 + 30.0
3,1,target,148,148,(3;5;1),WS 2 (Port 2),40,165,165.0,30.0 + 55.0 + 30.0 + 10.0
4,0,return,148,148,WS 2 (Port 2),(0;0;6),325,400,400.0,30.0 + 15.0 + 30.0
5,2,target,147,147,(3;6;1),WS 2 (Port 3),45,175,175.0,30.0 + 60.0 + 30.0 + 10.0
6,1,return,147,147,WS 2 (Port 3),(0;0;5),231,430,430.0,30.0 + 139.0 + 30.0
7,2,target,0,0,(5;10;0),WS 1 (Port 1),255,410,410.0,30.0 + 85.0 + 30.0 + 10.0
8,0,return,0,0,WS 1 (Port 1),(0;0;4),426,496,496.0,30.0 + 10.0 + 30.0
9,2,target,1,1,(5;9;0),WS 1 (Port 1),480,630,630.0,30.0 + 80.0 + 30.0 + 10.0
10,0,return,1,1,WS 1 (Port 1),(0;0;3),634,704,704.0,30.0 + 10.0 + 30.0
