mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,3,3,(5;7;0),WS 2 (Port 1),60,205,205.0,30.0 + 75.0 + 30.0 + 10.0
2,0,return,3,3,WS 2 (Port 1),(0;0;7),219,294,294.0,30.0 + 15.0 + 30.0
3,1,reshuffle,161,216,(4;3;1),(0;0;6),35,324,324.0,30.0 + 229.0 + 30.0
4,2,target,216,216,(4;3;2),WS 2 (Port 2),65,185,185.0,30.0 + 50.0 + 30.0 + 10.0
5,2,return,216,216,WS 2 (Port 2),(0;0;5),191,354,354.0,30.0 + 103.0 + 30.0
6,0,reshuffle,31,119,(2;1;1),(0;0;4),309,384,384.0,30.0 + 15.0 + 30.0
7,1,reshuffle,53,119,(2;1;2),(0;0;3),339,414,414.0,30.0 + 15.0 + 30.0
8,2,reshuffle,75,119,(2;1;3),(0;0;2),369,444,444.0,30.0 + 15.0 + 30.0
9,0,reshuffle,97,119,(2;1;4),(0;0;1),399,474,474.0,30.0 + 15.0 + 30.0
10,1,target,119,119,(2;1;5),WS 2 (Port 1),429,529,529.0,30.0 + 30.0 + 30.0 + 10.0
11,0,return,119,119,WS 2 (Port 1),(0;0;0),549,624,624.0,30.0 + 15.0 + 30.0
