mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,151,206,(3;2;1),(0;0;7),25,110,110.0,30.0 + 25.0 + 30.0
2,1,target,206,206,(3;2;2),WS 2 (Port 1),55,165,165.0,30.0 + 40.0 + 30.0 + 10.0
3,0,return,206,206,WS 2 (Port 1),(0;0;6),501,576,576.0,30.0 + 15.0 + 30.0
4,1,reshuffle,12,56,(1;9;1),(0;0;5),220,606,606.0,30.0 + 326.0 + 30.0
5,2,reshuffle,34,56,(1;9;2),(0;0;4),250,636,636.0,30.0 + 326.0 + 30.0
6,0,target,56,56,(1;9;3),WS 2 (Port 1),626,761,761.0,30.0 + 65.0 + 30.0 + 10.0
7,0,return,56,56,WS 2 (Port 1),(0;0;3),765,840,840.0,30.0 + 15.0 + 30.0
8,1,reshuffle,13,57,(1;8;1),(0;0;2),651,870,870.0,30.0 + 159.0 + 30.0
9,2,reshuffle,35,57,(1;8;2),(0;0;1),681,900,900.0,30.0 + 159.0 + 30.0
10,0,target,57,57,(1;8;3),WS 2 (Port 1),885,1015,1015.0,30.0 + 60.0 + 30.0 + 10.0
11,0,return,57,57,WS 2 (Port 1),(0;0;0),1017,1092,1092.0,30.0 + 15.0 + 30.0
12,1,reshuffle,31,75,(2;1;1),(0;1;7),885,955,955.0,30.0 + 10.0 + 30.0
13,2,reshuffle,53,75,(2;1;2),(0;1;6),915,985,985.0,30.0 + 10.0 + 30.0
14,1,target,75,75,(2;1;3),WS 2 (Port 1),965,1065,1065.0,30.0 + 30.0 + 30.0 + 10.0
15,0,return,75,75,WS 2 (Port 1),(0;1;5),1165,1245,1245.0,30.0 + 20.0 + 30.0
16,2,target,32,32,(2;0;1),WS 2 (Port 2),1000,1095,1095.0,30.0 + 25.0 + 30.0 + 10.0
17,1,return,32,32,WS 2 (Port 2),(0;1;4),1103,1275,1275.0,30.0 + 112.0 + 30.0
18,2,target,27,27,(2;5;1),WS 2 (Port 1),1135,1255,1255.0,30.0 + 50.0 + 30.0 + 10.0
19,0,return,27,27,WS 2 (Port 1),(0;1;3),1271,1351,1351.0,30.0 + 20.0 + 30.0
