mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,31,75,(2;1;1),(0;0;7),15,90,90.0,30.0 + 15.0 + 30.0
2,1,reshuffle,53,75,(2;1;2),(0;0;6),45,120,120.0,30.0 + 15.0 + 30.0
3,2,target,75,75,(2;1;3),WS 2 (Port 1),75,175,175.0,30.0 + 30.0 + 30.0 + 10.0
4,0,return,75,75,WS 2 (Port 1),(0;0;5),183,258,258.0,30.0 + 15.0 + 30.0
5,1,reshuffle,32,76,(2;0;1),(0;0;4),130,288,288.0,30.0 + 98.0 + 30.0
6,2,reshuffle,54,76,(2;0;2),(0;0;3),190,318,318.0,30.0 + 68.0 + 30.0
7,0,target,76,76,(2;0;3),WS 2 (Port 1),268,363,363.0,30.0 + 25.0 + 30.0 + 10.0
8,0,return,76,76,WS 2 (Port 1),(0;0;2),377,452,452.0,30.0 + 15.0 + 30.0
9,1,reshuffle,7,172,(5;3;0),(0;0;1),328,482,482.0,30.0 + 94.0 + 30.0
10,2,target,172,172,(5;3;1),WS 2 (Port 1),358,483,483.0,30.0 + 55.0 + 30.0 + 10.0
11,0,return,172,172,WS 2 (Port 1),(0;0;0),903,978,978.0,30.0 + 15.0 + 30.0
12,1,reshuffle,25,190,(2;7;1),(0;1;7),527,627,627.0,30.0 + 40.0 + 30.0
13,2,reshuffle,47,190,(2;7;2),(0;1;6),557,657,657.0,30.0 + 40.0 + 30.0
14,1,reshuffle,69,190,(2;7;3),(0;1;5),667,767,767.0,30.0 + 40.0 + 30.0
15,2,reshuffle,91,190,(2;7;4),(0;1;4),697,797,797.0,30.0 + 40.0 + 30.0
16,1,reshuffle,113,190,(2;7;5),(0;1;3),807,907,907.0,30.0 + 40.0 + 30.0
17,2,reshuffle,135,190,(2;7;6),(0;1;2),837,937,937.0,30.0 + 40.0 + 30.0
18,1,target,190,190,(2;7;7),WS 2 (Port 1),947,1077,1077.0,30.0 + 60.0 + 30.0 + 10.0
19,0,return,190,190,WS 2 (Port 1),(0;1;1),1119,1199,1199.0,30.0 + 20.0 + 30.0
