mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,152,152,(3;1;1),WS 1 (Port 1),20,120,120.0,30.0 + 30.0 + 30.0 + 10.0
2,0,return,152,152,WS 1 (Port 1),(0;0;7),144,214,214.0,30.0 + 10.0 + 30.0
3,1,target,157,157,(4;7;1),WS 1 (Port 1),55,190,190.0,30.0 + 65.0 + 30.0 + 10.0
4,1,return,157,157,WS 1 (Port 1),(0;0;6),192,262,262.0,30.0 + 10.0 + 30.0
5,2,target,158,158,(4;6;1),WS 1 (Port 2),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
6,2,return,158,158,WS 1 (Port 2),(0;0;5),188,292,292.0,30.0 + 44.0 + 30.0
7,0,target,159,159,(4;5;1),WS 1 (Port 1),259,384,384.0,30.0 + 55.0 + 30.0 + 10.0
8,0,return,159,159,WS 1 (Port 1),(0;0;4),392,462,462.0,30.0 + 10.0 + 30.0
9,1,target,160,160,(4;4;1),WS 1 (Port 2),302,422,422.0,30.0 + 50.0 + 30.0 + 10.0
10,1,return,160,160,WS 1 (Port 2),(0;0;3),430,500,500.0,30.0 + 10.0 + 30.0
11,2,target,161,161,(4;3;1),WS 1 (Port 1),327,442,442.0,30.0 + 45.0 + 30.0 + 10.0
12,2,return,161,161,WS 1 (Port 1),(0;0;2),450,530,530.0,30.0 + 20.0 + 30.0
13,0,target,162,162,(4;2;1),WS 1 (Port 1),492,602,602.0,30.0 + 40.0 + 30.0 + 10.0
14,0,return,162,162,WS 1 (Port 1),(0;0;1),610,680,680.0,30.0 + 10.0 + 30.0
15,1,target,163,163,(4;1;1),WS 1 (Port 2),525,630,630.0,30.0 + 35.0 + 30.0 + 10.0
16,1,return,163,163,WS 1 (Port 2),(0;0;0),636,710,710.0,30.0 + 14.0 + 30.0
