mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,27,49,(2;5;1),(0;0;7),35,130,130.0,30.0 + 35.0 + 30.0
2,1,target,49,49,(2;5;2),WS 1 (Port 1),65,180,180.0,30.0 + 45.0 + 30.0 + 10.0
3,0,return,49,49,WS 1 (Port 1),(0;0;6),184,254,254.0,30.0 + 10.0 + 30.0
4,2,target,158,158,(4;6;1),WS 1 (Port 2),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
5,1,return,158,158,WS 1 (Port 2),(0;0;5),188,284,284.0,30.0 + 36.0 + 30.0
6,2,target,160,160,(4;4;1),WS 1 (Port 1),220,340,340.0,30.0 + 50.0 + 30.0 + 10.0
7,0,return,160,160,WS 1 (Port 1),(0;0;4),348,418,418.0,30.0 + 10.0 + 30.0
8,1,target,161,161,(4;3;1),WS 1 (Port 1),319,434,434.0,30.0 + 45.0 + 30.0 + 10.0
9,0,return,161,161,WS 1 (Port 1),(0;0;3),442,512,512.0,30.0 + 10.0 + 30.0
10,2,target,162,162,(4;2;1),WS 1 (Port 2),370,480,480.0,30.0 + 40.0 + 30.0 + 10.0
11,1,return,162,162,WS 1 (Port 2),(0;0;2),488,558,558.0,30.0 + 10.0 + 30.0
12,2,target,163,163,(4;1;1),WS 1 (Port 1),505,610,610.0,30.0 + 35.0 + 30.0 + 10.0
13,0,return,163,163,WS 1 (Port 1),(0;0;1),618,688,688.0,30.0 + 10.0 + 30.0
14,1,target,164,164,(4;0;1),WS 1 (Port 1),578,678,678.0,30.0 + 30.0 + 30.0 + 10.0
15,1,return,164,164,WS 1 (Port 1),(0;0;0),686,756,756.0,30.0 + 10.0 + 30.0
