mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,13,57,(1;8;1),(0;0;7),45,150,150.0,30.0 + 45.0 + 30.0
2,1,reshuffle,35,57,(1;8;2),(0;0;6),75,180,180.0,30.0 + 45.0 + 30.0
3,2,target,57,57,(1;8;3),WS 2 (Port 1),105,235,235.0,30.0 + 60.0 + 30.0 + 10.0
4,0,return,57,57,WS 2 (Port 1),(0;0;5),243,318,318.0,30.0 + 15.0 + 30.0
5,1,reshuffle,14,58,(1;7;1),(0;0;4),220,348,348.0,30.0 + 68.0 + 30.0
6,2,reshuffle,36,58,(1;7;2),(0;0;3),280,380,380.0,30.0 + 40.0 + 30.0
7,0,target,58,58,(1;7;3),WS 2 (Port 1),358,483,483.0,30.0 + 55.0 + 30.0 + 10.0
8,0,return,58,58,WS 2 (Port 1),(0;0;2),487,562,562.0,30.0 + 15.0 + 30.0
9,1,reshuffle,15,59,(1;6;1),(0;0;1),383,592,592.0,30.0 + 149.0 + 30.0
10,2,reshuffle,37,59,(1;6;2),(0;0;0),415,622,622.0,30.0 + 147.0 + 30.0
11,0,target,59,59,(1;6;3),WS 2 (Port 1),597,717,717.0,30.0 + 50.0 + 30.0 + 10.0
12,0,return,59,59,WS 2 (Port 1),(0;1;7),725,805,805.0,30.0 + 20.0 + 30.0
13,1,reshuffle,27,71,(2;5;1),(0;1;6),627,835,835.0,30.0 + 148.0 + 30.0
14,2,reshuffle,49,71,(2;5;2),(0;1;5),657,865,865.0,30.0 + 148.0 + 30.0
15,0,target,71,71,(2;5;3),WS 2 (Port 1),835,955,955.0,30.0 + 50.0 + 30.0 + 10.0
16,0,return,71,71,WS 2 (Port 1),(0;1;4),963,1043,1043.0,30.0 + 20.0 + 30.0
17,1,target,161,161,(4;3;1),WS 2 (Port 2),865,985,985.0,30.0 + 50.0 + 30.0 + 10.0
18,1,return,161,161,WS 2 (Port 2),(0;1;3),993,1073,1073.0,30.0 + 20.0 + 30.0
