mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,13,13,(3;0;0),WS 1 (Port 1),15,110,110.0,30.0 + 25.0 + 30.0 + 10.0
2,0,return,13,13,WS 1 (Port 1),(1;0;1),124,199,199.0,30.0 + 15.0 + 30.0
3,1,target,27,27,(5;3;0),WS 1 (Port 2),40,160,160.0,30.0 + 50.0 + 30.0 + 10.0
4,1,return,27,27,WS 1 (Port 2),(1;0;0),168,243,243.0,30.0 + 15.0 + 30.0
5,2,reshuffle,23,145,(4;5;0),(0;2;4),45,140,140.0,30.0 + 35.0 + 30.0
6,2,reshuffle,205,145,(4;5;1),(0;2;3),175,270,270.0,30.0 + 35.0 + 30.0
7,0,reshuffle,358,145,(4;5;2),(0;2;2),239,334,334.0,30.0 + 35.0 + 30.0
8,1,reshuffle,248,145,(4;5;3),(0;2;1),283,378,378.0,30.0 + 35.0 + 30.0
9,2,target,145,145,(4;5;4),WS 1 (Port 1),313,438,438.0,30.0 + 55.0 + 30.0 + 10.0
10,0,return,145,145,WS 1 (Port 1),(0;2;0),448,528,528.0,30.0 + 20.0 + 30.0
11,1,target,172,172,(2;7;1),WS 1 (Port 1),413,538,538.0,30.0 + 55.0 + 30.0 + 10.0
12,0,return,172,172,WS 1 (Port 1),(1;1;2),778,858,858.0,30.0 + 20.0 + 30.0
