mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,59,59,(4;0;6),WS 2 (Port 1),20,125,125.0,30.0 + 35.0 + 30.0 + 10.0
2,0,return,59,59,WS 2 (Port 1),(1;0;1),133,213,213.0,30.0 + 20.0 + 30.0
3,1,target,56,56,(0;0;0),WS 2 (Port 2),0,85,85.0,30.0 + 15.0 + 30.0 + 10.0
4,1,return,56,56,WS 2 (Port 2),(0;0;0),89,164,164.0,30.0 + 15.0 + 30.0
5,2,target,57,57,(4;7;1),WS 2 (Port 1),55,195,195.0,30.0 + 70.0 + 30.0 + 10.0
6,1,return,57,57,WS 2 (Port 1),(1;0;0),203,283,283.0,30.0 + 20.0 + 30.0
7,2,reshuffle,193,58,(1;5;0),(0;2;4),230,310,310.0,30.0 + 20.0 + 30.0
8,0,target,58,58,(1;5;1),WS 2 (Port 1),260,375,375.0,30.0 + 45.0 + 30.0 + 10.0
9,0,return,58,58,WS 2 (Port 1),(0;2;3),383,468,468.0,30.0 + 25.0 + 30.0
10,1,reshuffle,392,60,(1;10;0),(0;2;2),333,498,498.0,30.0 + 105.0 + 30.0
11,2,reshuffle,235,60,(1;10;1),(0;2;1),363,528,528.0,30.0 + 105.0 + 30.0
12,0,reshuffle,304,60,(1;10;2),(0;2;0),513,618,618.0,30.0 + 45.0 + 30.0
13,1,reshuffle,206,60,(1;10;3),(0;3;2),543,643,643.0,30.0 + 40.0 + 30.0
14,2,target,60,60,(1;10;4),WS 2 (Port 1),573,713,713.0,30.0 + 70.0 + 30.0 + 10.0
15,0,return,60,60,WS 2 (Port 1),(1;1;2),717,802,802.0,30.0 + 25.0 + 30.0
16,1,target,172,172,(2;7;1),WS 2 (Port 1),673,803,803.0,30.0 + 60.0 + 30.0 + 10.0
17,0,return,172,172,WS 2 (Port 1),(1;1;1),863,948,948.0,30.0 + 25.0 + 30.0
