mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,56,56,(0;0;0),WS 1 (Port 1),0,80,80.0,30.0 + 10.0 + 30.0 + 10.0
2,0,return,56,56,WS 1 (Port 1),(0;0;0),84,154,154.0,30.0 + 10.0 + 30.0
3,1,reshuffle,193,58,(1;5;0),(0;2;4),30,110,110.0,30.0 + 20.0 + 30.0
4,2,target,58,58,(1;5;1),WS 1 (Port 1),60,170,170.0,30.0 + 40.0 + 30.0 + 10.0
5,0,return,58,58,WS 1 (Port 1),(1;0;1),178,253,253.0,30.0 + 15.0 + 30.0
6,1,target,59,59,(4;0;6),WS 1 (Port 1),140,240,240.0,30.0 + 30.0 + 30.0 + 10.0
7,1,return,59,59,WS 1 (Port 1),(1;0;0),248,323,323.0,30.0 + 15.0 + 30.0
8,2,target,83,83,(2;6;1),WS 1 (Port 1),210,330,330.0,30.0 + 50.0 + 30.0 + 10.0
9,0,return,83,83,WS 1 (Port 1),(0;2;3),338,418,418.0,30.0 + 20.0 + 30.0
10,1,target,87,87,(4;3;0),WS 1 (Port 1),353,468,468.0,30.0 + 45.0 + 30.0 + 10.0
11,0,return,87,87,WS 1 (Port 1),(0;2;2),470,550,550.0,30.0 + 20.0 + 30.0
