mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,36,36,(1;9;0),WS 2 (Port 1),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
2,0,return,36,36,WS 2 (Port 1),(1;0;1),193,273,273.0,30.0 + 20.0 + 30.0
3,1,target,51,51,(5;0;2),WS 2 (Port 2),25,135,135.0,30.0 + 40.0 + 30.0 + 10.0
4,1,return,51,51,WS 2 (Port 2),(1;0;0),137,303,303.0,30.0 + 106.0 + 30.0
5,2,target,56,56,(0;0;0),WS 2 (Port 3),0,85,85.0,30.0 + 15.0 + 30.0 + 10.0
6,2,return,56,56,WS 2 (Port 3),(0;0;0),89,164,164.0,30.0 + 15.0 + 30.0
7,2,target,57,57,(4;7;1),WS 2 (Port 1),219,359,359.0,30.0 + 70.0 + 30.0 + 10.0
8,0,return,57,57,WS 2 (Port 1),(0;2;4),367,452,452.0,30.0 + 25.0 + 30.0
9,1,target,71,71,(2;10;5),WS 2 (Port 1),358,503,503.0,30.0 + 75.0 + 30.0 + 10.0
10,0,return,71,71,WS 2 (Port 1),(0;2;3),511,596,596.0,30.0 + 25.0 + 30.0
