mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,183,0,(3;5;2),(0;2;4),40,130,130.0,30.0 + 30.0 + 30.0
2,1,reshuffle,98,0,(3;5;3),(0;2;3),70,160,160.0,30.0 + 30.0 + 30.0
3,2,reshuffle,224,0,(3;5;4),(0;2;2),100,190,190.0,30.0 + 30.0 + 30.0
4,0,target,0,0,(3;5;5),WS 2 (Port 1),160,285,285.0,30.0 + 55.0 + 30.0 + 10.0
5,0,return,0,0,WS 2 (Port 1),(1;0;1),291,371,371.0,30.0 + 20.0 + 30.0
6,1,target,198,198,(5;4;5),WS 2 (Port 2),195,325,325.0,30.0 + 60.0 + 30.0 + 10.0
7,1,return,198,198,WS 2 (Port 2),(1;0;0),349,429,429.0,30.0 + 20.0 + 30.0
8,2,reshuffle,346,199,(2;8;3),(0;2;1),230,330,330.0,30.0 + 40.0 + 30.0
9,2,target,199,199,(2;8;4),WS 2 (Port 1),370,505,505.0,30.0 + 65.0 + 30.0 + 10.0
10,0,return,199,199,WS 2 (Port 1),(0;2;0),537,622,622.0,30.0 + 25.0 + 30.0
