mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,214,267,(4;8;2),(0;2;4),60,170,170.0,30.0 + 50.0 + 30.0
2,1,target,267,267,(4;8;3),WS 1 (Port 1),90,230,230.0,30.0 + 70.0 + 30.0 + 10.0
3,0,return,267,267,WS 1 (Port 1),(1;0;1),246,321,321.0,30.0 + 15.0 + 30.0
4,2,target,3,3,(2;5;2),WS 1 (Port 2),35,150,150.0,30.0 + 45.0 + 30.0 + 10.0
5,1,return,3,3,WS 1 (Port 2),(1;0;0),220,351,351.0,30.0 + 71.0 + 30.0
6,2,reshuffle,316,5,(1;7;0),(0;2;3),190,280,280.0,30.0 + 30.0 + 30.0
7,2,target,5,5,(1;7;1),WS 1 (Port 1),310,430,430.0,30.0 + 50.0 + 30.0 + 10.0
8,0,return,5,5,WS 1 (Port 1),(0;2;2),432,512,512.0,30.0 + 20.0 + 30.0
9,0,reshuffle,5,8,(0;2;2),(0;3;2),512,577,577.0,30.0 + 5.0 + 30.0
10,1,reshuffle,316,8,(0;2;3),(0;3;1),542,607,607.0,30.0 + 5.0 + 30.0
11,2,reshuffle,214,8,(0;2;4),(0;3;0),572,637,637.0,30.0 + 5.0 + 30.0
12,0,reshuffle,302,8,(0;2;5),(0;6;6),602,682,682.0,30.0 + 20.0 + 30.0
13,1,target,8,8,(0;2;6),WS 1 (Port 1),632,722,722.0,30.0 + 20.0 + 30.0 + 10.0
14,0,return,8,8,WS 1 (Port 1),(0;2;6),724,804,804.0,30.0 + 20.0 + 30.0
15,2,reshuffle,239,9,(5;10;3),(0;2;5),697,834,834.0,30.0 + 77.0 + 30.0
16,1,reshuffle,50,9,(5;10;4),(0;2;4),797,922,922.0,30.0 + 65.0 + 30.0
17,0,reshuffle,272,9,(5;10;5),(0;2;3),869,994,994.0,30.0 + 65.0 + 30.0
18,2,reshuffle,300,9,(5;10;6),(0;2;2),899,1024,1024.0,30.0 + 65.0 + 30.0
19,1,target,9,9,(5;10;7),WS 1 (Port 1),987,1142,1142.0,30.0 + 85.0 + 30.0 + 10.0
20,0,return,9,9,WS 1 (Port 1),(0;2;1),1144,1224,1224.0,30.0 + 20.0 + 30.0
21,2,reshuffle,87,10,(4;3;0),(0;2;0),1049,1254,1254.0,30.0 + 145.0 + 30.0
22,1,reshuffle,204,10,(4;3;1),(0;6;5),1177,1272,1272.0,30.0 + 35.0 + 30.0
23,0,reshuffle,197,10,(4;3;2),(0;6;4),1249,1344,1344.0,30.0 + 35.0 + 30.0
24,2,reshuffle,80,10,(4;3;3),(0;6;3),1279,1374,1374.0,30.0 + 35.0 + 30.0
25,1,reshuffle,253,10,(4;3;4),(0;6;2),1309,1404,1404.0,30.0 + 35.0 + 30.0
26,0,reshuffle,113,10,(4;3;5),(0;6;1),1379,1474,1474.0,30.0 + 35.0 + 30.0
27,2,target,10,10,(4;3;6),WS 1 (Port 1),1409,1524,1524.0,30.0 + 45.0 + 30.0 + 10.0
28,0,return,10,10,WS 1 (Port 1),(1;1;2),1526,1606,1606.0,30.0 + 20.0 + 30.0
29,1,target,13,13,(3;0;0),WS 1 (Port 2),1449,1544,1544.0,30.0 + 25.0 + 30.0 + 10.0
30,1,return,13,13,WS 1 (Port 2),(1;1;1),1548,1636,1636.0,30.0 + 28.0 + 30.0
31,2,reshuffle,275,20,(0;4;0),(0;6;0),1544,1614,1614.0,30.0 + 10.0 + 30.0
32,2,reshuffle,184,20,(0;4;1),(0;7;2),1624,1699,1699.0,30.0 + 15.0 + 30.0
33,0,reshuffle,92,20,(0;4;2),(0;7;1),1654,1729,1729.0,30.0 + 15.0 + 30.0
34,1,target,20,20,(0;4;3),WS 1 (Port 1),1684,1784,1784.0,30.0 + 30.0 + 30.0 + 10.0
35,0,return,20,20,WS 1 (Port 1),(1;1;0),1786,1866,1866.0,30.0 + 20.0 + 30.0
