mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,377,377,(2;4;3),WS 2 (Port 1),30,145,145.0,30.0 + 45.0 + 30.0 + 10.0
2,0,return,377,377,WS 2 (Port 1),(1;0;1),225,305,305.0,30.0 + 20.0 + 30.0
3,1,target,52,52,(0;3;3),WS 1 (Port 1),15,110,110.0,30.0 + 25.0 + 30.0 + 10.0
4,1,return,52,52,WS 1 (Port 1),(1;0;0),118,335,335.0,30.0 + 157.0 + 30.0
5,2,target,71,71,(2;10;5),WS 1 (Port 1),60,200,200.0,30.0 + 70.0 + 30.0 + 10.0
6,2,return,71,71,WS 1 (Port 1),(0;2;4),202,282,282.0,30.0 + 20.0 + 30.0
7,2,target,273,273,(3;10;0),WS 1 (Port 1),337,482,482.0,30.0 + 75.0 + 30.0 + 10.0
8,0,return,273,273,WS 1 (Port 1),(0;2;3),490,570,570.0,30.0 + 20.0 + 30.0
9,1,target,392,392,(1;10;0),WS 1 (Port 2),385,520,520.0,30.0 + 65.0 + 30.0 + 10.0
10,1,return,392,392,WS 1 (Port 2),(0;2;2),528,608,608.0,30.0 + 20.0 + 30.0
11,2,target,101,101,(1;8;1),WS 2 (Port 1),527,657,657.0,30.0 + 60.0 + 30.0 + 10.0
12,0,return,101,101,WS 2 (Port 1),(0;2;1),667,752,752.0,30.0 + 25.0 + 30.0
13,1,target,275,275,(0;4;0),WS 2 (Port 1),618,723,723.0,30.0 + 35.0 + 30.0 + 10.0
14,1,return,275,275,WS 2 (Port 1),(0;2;0),739,824,824.0,30.0 + 25.0 + 30.0
