mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,140,338,(0;10;1),(0;2;4),50,150,150.0,30.0 + 40.0 + 30.0
2,1,target,338,338,(0;10;2),WS 2 (Port 1),80,215,215.0,30.0 + 65.0 + 30.0 + 10.0
3,0,return,338,338,WS 2 (Port 1),(1;0;1),219,299,299.0,30.0 + 20.0 + 30.0
4,2,target,189,189,(0;5;0),WS 2 (Port 2),25,135,135.0,30.0 + 40.0 + 30.0 + 10.0
5,1,return,189,189,WS 2 (Port 2),(1;0;0),205,329,329.0,30.0 + 64.0 + 30.0
6,2,reshuffle,59,271,(4;0;6),(0;2;3),160,250,250.0,30.0 + 30.0 + 30.0
7,2,target,271,271,(4;0;7),WS 2 (Port 1),280,385,385.0,30.0 + 35.0 + 30.0 + 10.0
8,0,return,271,271,WS 2 (Port 1),(0;2;2),401,486,486.0,30.0 + 25.0 + 30.0
9,1,reshuffle,255,388,(0;1;0),(0;2;1),339,516,516.0,30.0 + 117.0 + 30.0
10,2,target,388,388,(0;1;1),WS 2 (Port 1),395,485,485.0,30.0 + 20.0 + 30.0 + 10.0
11,2,return,388,388,WS 2 (Port 1),(0;1;1),501,581,581.0,30.0 + 20.0 + 30.0
