mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,101,81,(1;8;1),(0;2;4),45,140,140.0,30.0 + 35.0 + 30.0
2,1,target,81,81,(1;8;2),WS 2 (Port 1),75,205,205.0,30.0 + 60.0 + 30.0 + 10.0
3,0,return,81,81,WS 2 (Port 1),(1;0;1),211,291,291.0,30.0 + 20.0 + 30.0
4,2,target,101,101,(0;2;4),WS 2 (Port 2),150,245,245.0,30.0 + 25.0 + 30.0 + 10.0
5,1,return,101,101,WS 2 (Port 2),(1;0;0),269,349,349.0,30.0 + 20.0 + 30.0
6,2,reshuffle,46,191,(5;9;4),(0;2;4),320,440,440.0,30.0 + 60.0 + 30.0
7,0,reshuffle,261,191,(5;9;5),(0;2;3),356,476,476.0,30.0 + 60.0 + 30.0
8,1,target,191,191,(5;9;6),WS 2 (Port 1),414,569,569.0,30.0 + 85.0 + 30.0 + 10.0
9,0,return,191,191,WS 2 (Port 1),(0;2;2),593,678,678.0,30.0 + 25.0 + 30.0
10,1,reshuffle,83,284,(2;6;1),(0;2;1),614,708,708.0,30.0 + 34.0 + 30.0
11,2,reshuffle,32,284,(2;6;2),(0;2;0),644,738,738.0,30.0 + 34.0 + 30.0
12,0,reshuffle,336,284,(2;6;3),(0;3;2),708,793,793.0,30.0 + 25.0 + 30.0
13,1,target,284,284,(2;6;4),WS 2 (Port 1),738,863,863.0,30.0 + 55.0 + 30.0 + 10.0
14,0,return,284,284,WS 2 (Port 1),(1;1;2),887,972,972.0,30.0 + 25.0 + 30.0
15,2,reshuffle,140,326,(0;10;1),(0;3;1),778,873,873.0,30.0 + 35.0 + 30.0
16,2,reshuffle,338,326,(0;10;2),(0;3;0),908,1003,1003.0,30.0 + 35.0 + 30.0
17,1,reshuffle,252,326,(0;10;3),(0;6;6),938,1018,1018.0,30.0 + 20.0 + 30.0
18,0,reshuffle,376,326,(0;10;4),(0;6;5),1022,1102,1102.0,30.0 + 20.0 + 30.0
19,1,reshuffle,144,326,(0;10;5),(0;6;4),1052,1132,1132.0,30.0 + 20.0 + 30.0
20,2,target,326,326,(0;10;6),WS 2 (Port 1),1082,1217,1217.0,30.0 + 65.0 + 30.0 + 10.0
21,0,return,326,326,WS 2 (Port 1),(1;1;1),1245,1330,1330.0,30.0 + 25.0 + 30.0
22,1,reshuffle,368,378,(2;2;0),(0;6;3),1162,1252,1252.0,30.0 + 30.0 + 30.0
23,2,reshuffle,73,378,(2;2;1),(0;6;2),1242,1332,1332.0,30.0 + 30.0 + 30.0
24,1,reshuffle,247,378,(2;2;2),(0;6;1),1282,1372,1372.0,30.0 + 30.0 + 30.0
25,0,reshuffle,291,378,(2;2;3),(0;6;0),1340,1430,1430.0,30.0 + 30.0 + 30.0
26,2,target,378,378,(2;2;4),WS 2 (Port 1),1370,1475,1475.0,30.0 + 35.0 + 30.0 + 10.0
27,0,return,378,378,WS 2 (Port 1),(1;1;0),1489,1574,1574.0,30.0 + 25.0 + 30.0
