mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,275,275,(0;4;0),WS 2 (Port 1),20,125,125.0,30.0 + 35.0 + 30.0 + 10.0
2,0,return,275,275,WS 2 (Port 1),(1;0;1),141,221,221.0,30.0 + 20.0 + 30.0
3,1,target,332,332,(4;4;4),WS 2 (Port 2),40,165,165.0,30.0 + 55.0 + 30.0 + 10.0
4,1,return,332,332,WS 2 (Port 2),(1;0;0),167,251,251.0,30.0 + 24.0 + 30.0
5,2,target,101,101,(1;8;1),WS 2 (Port 3),45,175,175.0,30.0 + 60.0 + 30.0 + 10.0
6,2,return,101,101,WS 2 (Port 3),(0;2;4),191,276,276.0,30.0 + 25.0 + 30.0
7,0,target,79,79,(2;0;1),WS 2 (Port 1),226,321,321.0,30.0 + 25.0 + 30.0 + 10.0
8,0,return,79,79,WS 2 (Port 1),(0;2;3),337,422,422.0,30.0 + 25.0 + 30.0
9,1,target,56,56,(0;0;0),WS 1 (Port 1),256,336,336.0,30.0 + 10.0 + 30.0 + 10.0
10,1,return,56,56,WS 1 (Port 1),(0;0;0),340,410,410.0,30.0 + 10.0 + 30.0
