Combo_Name,Selection_Run_ID,Number_of_Tasks,Makespan,CPU_Time
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204441,5,239.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204445,9,503.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204450,20,1024.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204457,65,3077.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204510,5,465.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204512,3,225.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204515,3,215.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204518,22,1141.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204525,4,283.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204528,6,401.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204532,4,162.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204535,9,466.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204536,3,201.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204539,34,1696.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204553,5,227.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204557,3,325.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204559,9,499.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204603,7,383.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204606,11,525.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204612,21,1032.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204622,33,1703.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204635,20,1018.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204640,48,2445.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204650,19,1180.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204658,7,424.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204703,27,1388.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204713,11,554.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204717,48,2359.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204734,6,455.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204737,12,722.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204742,5,217.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204746,3,227.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204749,12,664.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312204756,5,227.0,0.0
