mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,394,135,(3;0;1),(0;0;5),15,90,90.0,30.0 + 15.0 + 30.0
2,1,reshuffle,328,135,(3;0;2),(0;0;4),45,120,120.0,30.0 + 15.0 + 30.0
3,2,reshuffle,237,135,(3;0;3),(0;0;3),75,150,150.0,30.0 + 15.0 + 30.0
4,0,reshuffle,182,135,(3;0;4),(0;0;2),105,180,180.0,30.0 + 15.0 + 30.0
5,1,target,135,135,(3;0;5),WS 2 (Port 1),135,235,235.0,30.0 + 30.0 + 30.0 + 10.0
6,0,return,135,135,WS 2 (Port 1),(0;0;1),355,430,430.0,30.0 + 15.0 + 30.0
7,1,reshuffle,78,56,(1;6;2),(0;0;0),275,460,460.0,30.0 + 125.0 + 30.0
8,2,target,56,56,(1;6;3),WS 2 (Port 1),305,425,425.0,30.0 + 50.0 + 30.0 + 10.0
9,2,return,56,56,WS 2 (Port 1),(0;1;5),429,509,509.0,30.0 + 20.0 + 30.0
10,0,reshuffle,377,118,(5;5;0),(0;1;4),480,585,585.0,30.0 + 45.0 + 30.0
11,1,reshuffle,220,118,(5;5;1),(0;1;3),510,615,615.0,30.0 + 45.0 + 30.0
12,2,reshuffle,165,118,(5;5;2),(0;1;2),554,659,659.0,30.0 + 45.0 + 30.0
13,0,reshuffle,151,118,(5;5;3),(0;1;1),630,735,735.0,30.0 + 45.0 + 30.0
14,1,target,118,118,(5;5;4),WS 2 (Port 1),660,795,795.0,30.0 + 65.0 + 30.0 + 10.0
15,0,return,118,118,WS 2 (Port 1),(0;1;0),805,885,885.0,30.0 + 20.0 + 30.0
16,2,target,79,79,(1;7;2),WS 2 (Port 2),694,819,819.0,30.0 + 55.0 + 30.0 + 10.0
17,1,return,79,79,WS 2 (Port 2),(1;0;1),839,919,919.0,30.0 + 20.0 + 30.0
18,2,target,57,57,(1;7;3),WS 2 (Port 1),864,989,989.0,30.0 + 55.0 + 30.0 + 10.0
19,0,return,57,57,WS 2 (Port 1),(1;0;0),995,1075,1075.0,30.0 + 20.0 + 30.0
