mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,34,3,(3;6;1),(0;0;5),45,150,150.0,30.0 + 45.0 + 30.0
2,1,target,3,3,(3;6;2),WS 2 (Port 1),75,205,205.0,30.0 + 60.0 + 30.0 + 10.0
3,0,return,3,3,WS 2 (Port 1),(0;0;4),207,282,282.0,30.0 + 15.0 + 30.0
4,1,reshuffle,395,103,(3;1;1),(0;0;3),230,312,312.0,30.0 + 22.0 + 30.0
5,2,reshuffle,329,103,(3;1;2),(0;0;2),260,342,342.0,30.0 + 22.0 + 30.0
6,0,reshuffle,238,103,(3;1;3),(0;0;1),302,382,382.0,30.0 + 20.0 + 30.0
7,1,reshuffle,183,103,(3;1;4),(0;0;0),332,412,412.0,30.0 + 20.0 + 30.0
8,2,reshuffle,136,103,(3;1;5),(0;1;5),362,437,437.0,30.0 + 15.0 + 30.0
9,0,target,103,103,(3;1;6),WS 2 (Port 1),402,507,507.0,30.0 + 35.0 + 30.0 + 10.0
10,0,return,103,103,WS 2 (Port 1),(0;1;4),513,593,593.0,30.0 + 20.0 + 30.0
11,1,reshuffle,387,128,(4;4;1),(0;1;3),452,623,623.0,30.0 + 111.0 + 30.0
12,2,reshuffle,321,128,(4;4;2),(0;1;2),482,653,653.0,30.0 + 111.0 + 30.0
13,0,reshuffle,230,128,(4;4;3),(0;1;1),628,723,723.0,30.0 + 35.0 + 30.0
14,1,reshuffle,175,128,(4;4;4),(0;1;0),658,753,753.0,30.0 + 35.0 + 30.0
15,2,target,128,128,(4;4;5),WS 2 (Port 1),688,813,813.0,30.0 + 55.0 + 30.0 + 10.0
16,0,return,128,128,WS 2 (Port 1),(1;0;1),819,899,899.0,30.0 + 20.0 + 30.0
17,1,reshuffle,38,145,(3;10;1),(0;2;5),813,928,928.0,30.0 + 55.0 + 30.0
18,2,reshuffle,7,145,(3;10;2),(0;2;4),883,998,998.0,30.0 + 55.0 + 30.0
19,0,reshuffle,338,145,(3;10;3),(0;2;3),959,1074,1074.0,30.0 + 55.0 + 30.0
20,1,reshuffle,192,145,(3;10;4),(0;2;2),989,1104,1104.0,30.0 + 55.0 + 30.0
21,2,target,145,145,(3;10;5),WS 2 (Port 1),1053,1203,1203.0,30.0 + 80.0 + 30.0 + 10.0
22,0,return,145,145,WS 2 (Port 1),(1;0;0),1209,1289,1289.0,30.0 + 20.0 + 30.0
