mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,20,20,(1;1;1),WS 1 (Port 1),10,100,100.0,30.0 + 20.0 + 30.0 + 10.0
2,0,return,20,20,WS 1 (Port 1),(0;0;7),102,172,172.0,30.0 + 10.0 + 30.0
3,1,target,0,0,(5;10;0),WS 1 (Port 1),75,230,230.0,30.0 + 85.0 + 30.0 + 10.0
4,0,return,0,0,WS 1 (Port 1),(0;0;6),234,304,304.0,30.0 + 10.0 + 30.0
5,2,target,10,10,(5;0;0),WS 1 (Port 2),25,130,130.0,30.0 + 35.0 + 30.0 + 10.0
6,1,return,10,10,WS 1 (Port 2),(0;0;5),220,334,334.0,30.0 + 54.0 + 30.0
7,2,target,157,157,(4;7;1),WS 1 (Port 1),185,320,320.0,30.0 + 65.0 + 30.0 + 10.0
8,0,return,157,157,WS 1 (Port 1),(0;0;4),322,392,392.0,30.0 + 10.0 + 30.0
9,2,target,158,158,(4;6;1),WS 1 (Port 1),370,500,500.0,30.0 + 60.0 + 30.0 + 10.0
10,0,return,158,158,WS 1 (Port 1),(0;0;3),504,574,574.0,30.0 + 10.0 + 30.0
