mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,14,36,(1;7;1),(0;0;7),40,140,140.0,30.0 + 40.0 + 30.0
2,1,target,36,36,(1;7;2),WS 1 (Port 1),70,190,190.0,30.0 + 50.0 + 30.0 + 10.0
3,0,return,36,36,WS 1 (Port 1),(0;0;6),198,268,268.0,30.0 + 10.0 + 30.0
4,2,reshuffle,24,134,(2;8;1),(0;0;5),50,298,298.0,30.0 + 188.0 + 30.0
5,1,reshuffle,46,134,(2;8;2),(0;1;7),240,345,345.0,30.0 + 45.0 + 30.0
6,0,reshuffle,68,134,(2;8;3),(0;1;6),318,423,423.0,30.0 + 45.0 + 30.0
7,2,reshuffle,90,134,(2;8;4),(0;1;5),348,453,453.0,30.0 + 45.0 + 30.0
8,1,reshuffle,112,134,(2;8;5),(0;1;4),390,495,495.0,30.0 + 45.0 + 30.0
9,0,target,134,134,(2;8;6),WS 1 (Port 1),468,598,598.0,30.0 + 60.0 + 30.0 + 10.0
10,0,transfer,134,134,WS 1 (Port 1),WS 2 (Port 1),610,675,675.0,30.0 + 5.0 + 30.0
11,0,return,134,134,WS 2 (Port 1),(0;1;3),697,777,777.0,30.0 + 20.0 + 30.0
12,1,reshuffle,27,71,(2;5;1),(0;1;2),525,807,807.0,30.0 + 222.0 + 30.0
13,2,reshuffle,49,71,(2;5;2),(0;1;1),555,837,837.0,30.0 + 222.0 + 30.0
14,0,target,71,71,(2;5;3),WS 1 (Port 1),807,922,922.0,30.0 + 45.0 + 30.0 + 10.0
15,0,return,71,71,WS 1 (Port 1),(0;1;0),926,1001,1001.0,30.0 + 15.0 + 30.0
16,1,reshuffle,13,57,(1;8;1),(0;2;7),847,942,942.0,30.0 + 35.0 + 30.0
17,2,reshuffle,35,57,(1;8;2),(0;2;6),877,972,972.0,30.0 + 35.0 + 30.0
18,1,target,57,57,(1;8;3),WS 1 (Port 1),977,1102,1102.0,30.0 + 55.0 + 30.0 + 10.0
19,0,return,57,57,WS 1 (Port 1),(1;0;0),1110,1185,1185.0,30.0 + 15.0 + 30.0
20,2,reshuffle,22,44,(2;10;1),(0;2;5),1022,1132,1132.0,30.0 + 50.0 + 30.0
21,1,target,44,44,(2;10;2),WS 1 (Port 1),1162,1302,1302.0,30.0 + 70.0 + 30.0 + 10.0
22,0,return,44,44,WS 1 (Port 1),(0;2;4),1304,1384,1384.0,30.0 + 20.0 + 30.0
23,2,target,24,24,(0;0;5),WS 2 (Port 1),1142,1227,1227.0,30.0 + 15.0 + 30.0 + 10.0
24,2,return,24,24,WS 2 (Port 1),(0;0;5),1243,1318,1318.0,30.0 + 15.0 + 30.0
