mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,12,34,(1;9;1),(0;0;7),50,160,160.0,30.0 + 50.0 + 30.0
2,1,target,34,34,(1;9;2),WS 2 (Port 1),80,215,215.0,30.0 + 65.0 + 30.0 + 10.0
3,0,return,34,34,WS 2 (Port 1),(0;0;6),221,296,296.0,30.0 + 15.0 + 30.0
4,2,target,157,157,(4;7;1),WS 2 (Port 2),55,195,195.0,30.0 + 70.0 + 30.0 + 10.0
5,1,return,157,157,WS 2 (Port 2),(0;0;5),205,326,326.0,30.0 + 61.0 + 30.0
6,2,target,151,151,(3;2;1),WS 2 (Port 1),225,335,335.0,30.0 + 40.0 + 30.0 + 10.0
7,0,return,151,151,WS 2 (Port 1),(0;0;4),337,412,412.0,30.0 + 15.0 + 30.0
8,1,reshuffle,30,118,(2;2;1),(0;0;3),346,442,442.0,30.0 + 36.0 + 30.0
9,2,reshuffle,52,118,(2;2;2),(0;0;2),376,472,472.0,30.0 + 36.0 + 30.0
10,0,reshuffle,74,118,(2;2;3),(0;0;1),432,512,512.0,30.0 + 20.0 + 30.0
11,1,reshuffle,96,118,(2;2;4),(0;0;0),462,542,542.0,30.0 + 20.0 + 30.0
12,2,target,118,118,(2;2;5),WS 2 (Port 1),492,597,597.0,30.0 + 35.0 + 30.0 + 10.0
13,0,return,118,118,WS 2 (Port 1),(0;1;7),601,681,681.0,30.0 + 20.0 + 30.0
14,1,reshuffle,11,33,(1;10;1),(0;1;6),597,711,711.0,30.0 + 54.0 + 30.0
15,2,target,33,33,(1;10;2),WS 2 (Port 1),657,797,797.0,30.0 + 70.0 + 30.0 + 10.0
16,0,return,33,33,WS 2 (Port 1),(0;1;5),801,881,881.0,30.0 + 20.0 + 30.0
17,1,target,24,24,(2;8;1),WS 2 (Port 1),756,891,891.0,30.0 + 65.0 + 30.0 + 10.0
18,0,return,24,24,WS 2 (Port 1),(0;1;4),903,983,983.0,30.0 + 20.0 + 30.0
19,2,target,27,27,(2;5;1),WS 2 (Port 1),837,957,957.0,30.0 + 50.0 + 30.0 + 10.0
20,1,return,27,27,WS 2 (Port 1),(0;1;3),965,1045,1045.0,30.0 + 20.0 + 30.0
21,2,reshuffle,13,57,(1;8;1),(0;1;2),1007,1107,1107.0,30.0 + 40.0 + 30.0
22,0,reshuffle,35,57,(1;8;2),(0;1;1),1037,1137,1137.0,30.0 + 40.0 + 30.0
23,1,target,57,57,(1;8;3),WS 2 (Port 1),1085,1215,1215.0,30.0 + 60.0 + 30.0 + 10.0
24,0,return,57,57,WS 2 (Port 1),(0;1;0),1223,1303,1303.0,30.0 + 20.0 + 30.0
25,2,target,79,79,(1;8;4),WS 2 (Port 1),1147,1277,1277.0,30.0 + 60.0 + 30.0 + 10.0
26,1,return,79,79,WS 2 (Port 1),(1;0;0),1281,1361,1361.0,30.0 + 20.0 + 30.0
27,2,reshuffle,29,117,(2;3;1),(0;2;7),1307,1382,1382.0,30.0 + 15.0 + 30.0
28,0,reshuffle,51,117,(2;3;2),(0;2;6),1337,1412,1412.0,30.0 + 15.0 + 30.0
29,1,reshuffle,73,117,(2;3;3),(0;2;5),1381,1456,1456.0,30.0 + 15.0 + 30.0
30,2,reshuffle,95,117,(2;3;4),(0;2;4),1411,1486,1486.0,30.0 + 15.0 + 30.0
31,0,target,117,117,(2;3;5),WS 2 (Port 1),1441,1551,1551.0,30.0 + 40.0 + 30.0 + 10.0
32,0,return,117,117,WS 2 (Port 1),(0;2;3),1575,1660,1660.0,30.0 + 25.0 + 30.0
33,1,reshuffle,158,246,(4;6;1),(0;2;2),1496,1690,1690.0,30.0 + 134.0 + 30.0
34,2,reshuffle,213,246,(4;6;2),(0;2;1),1526,1720,1720.0,30.0 + 134.0 + 30.0
35,0,target,246,246,(4;6;3),WS 2 (Port 1),1700,1835,1835.0,30.0 + 65.0 + 30.0 + 10.0
36,0,return,246,246,WS 2 (Port 1),(0;2;0),1839,1924,1924.0,30.0 + 25.0 + 30.0
