mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,23,23,(2;9;1),WS 1 (Port 1),55,190,190.0,30.0 + 65.0 + 30.0 + 10.0
2,0,return,23,23,WS 1 (Port 1),(0;0;7),194,264,264.0,30.0 + 10.0 + 30.0
3,1,reshuffle,13,79,(1;8;1),(0;0;6),45,294,294.0,30.0 + 189.0 + 30.0
4,2,reshuffle,35,79,(1;8;2),(0;0;5),75,324,324.0,30.0 + 189.0 + 30.0
5,0,reshuffle,57,79,(1;8;3),(0;0;4),309,414,414.0,30.0 + 45.0 + 30.0
6,1,target,79,79,(1;8;4),WS 1 (Port 1),339,464,464.0,30.0 + 55.0 + 30.0 + 10.0
7,0,return,79,79,WS 1 (Port 1),(0;0;3),476,546,546.0,30.0 + 10.0 + 30.0
8,1,reshuffle,31,119,(2;1;1),(0;0;2),479,576,576.0,30.0 + 37.0 + 30.0
9,2,reshuffle,53,119,(2;1;2),(0;0;1),509,606,606.0,30.0 + 37.0 + 30.0
10,0,reshuffle,75,119,(2;1;3),(0;0;0),561,636,636.0,30.0 + 15.0 + 30.0
11,1,reshuffle,97,119,(2;1;4),(0;1;7),591,661,661.0,30.0 + 10.0 + 30.0
12,2,target,119,119,(2;1;5),WS 1 (Port 1),621,716,716.0,30.0 + 25.0 + 30.0 + 10.0
13,0,return,119,119,WS 1 (Port 1),(0;1;6),720,795,795.0,30.0 + 15.0 + 30.0
14,1,reshuffle,18,128,(1;3;1),(0;1;5),676,825,825.0,30.0 + 89.0 + 30.0
15,2,reshuffle,40,128,(1;3;2),(0;1;4),736,855,855.0,30.0 + 59.0 + 30.0
16,0,reshuffle,62,128,(1;3;3),(0;1;3),810,885,885.0,30.0 + 15.0 + 30.0
17,1,reshuffle,84,128,(1;3;4),(0;1;2),840,915,915.0,30.0 + 15.0 + 30.0
18,2,reshuffle,106,128,(1;3;5),(0;1;1),870,945,945.0,30.0 + 15.0 + 30.0
19,0,target,128,128,(1;3;6),WS 1 (Port 1),900,1000,1000.0,30.0 + 30.0 + 30.0 + 10.0
20,0,return,128,128,WS 1 (Port 1),(0;1;0),1004,1079,1079.0,30.0 + 15.0 + 30.0
