mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,13,35,(1;8;1),(0;0;7),45,150,150.0,30.0 + 45.0 + 30.0
2,1,target,35,35,(1;8;2),WS 1 (Port 1),75,200,200.0,30.0 + 55.0 + 30.0 + 10.0
3,0,return,35,35,WS 1 (Port 1),(0;0;6),208,278,278.0,30.0 + 10.0 + 30.0
4,2,reshuffle,14,36,(1;7;1),(0;0;5),40,308,308.0,30.0 + 208.0 + 30.0
5,1,target,36,36,(1;7;2),WS 1 (Port 1),240,360,360.0,30.0 + 50.0 + 30.0 + 10.0
6,0,return,36,36,WS 1 (Port 1),(0;0;4),364,434,434.0,30.0 + 10.0 + 30.0
7,2,target,0,0,(5;10;0),WS 1 (Port 1),383,538,538.0,30.0 + 85.0 + 30.0 + 10.0
8,0,return,0,0,WS 1 (Port 1),(0;0;3),554,624,624.0,30.0 + 10.0 + 30.0
9,1,target,1,1,(5;9;0),WS 1 (Port 2),430,580,580.0,30.0 + 80.0 + 30.0 + 10.0
10,1,return,1,1,WS 1 (Port 2),(0;0;2),588,658,658.0,30.0 + 10.0 + 30.0
11,2,reshuffle,11,33,(1;10;1),(0;0;1),593,708,708.0,30.0 + 55.0 + 30.0
12,0,target,33,33,(1;10;2),WS 1 (Port 1),679,814,814.0,30.0 + 65.0 + 30.0 + 10.0
13,0,return,33,33,WS 1 (Port 1),(0;0;0),818,888,888.0,30.0 + 10.0 + 30.0
14,1,reshuffle,12,34,(1;9;1),(0;1;7),708,813,813.0,30.0 + 45.0 + 30.0
15,2,target,34,34,(1;9;2),WS 1 (Port 1),758,888,888.0,30.0 + 60.0 + 30.0 + 10.0
16,1,return,34,34,WS 1 (Port 1),(0;1;6),896,971,971.0,30.0 + 15.0 + 30.0
