mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,158,158,(4;6;1),WS 2 (Port 1),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
2,0,return,158,158,WS 2 (Port 1),(0;0;7),193,268,268.0,30.0 + 15.0 + 30.0
3,1,target,10,10,(5;0;0),WS 2 (Port 2),25,135,135.0,30.0 + 40.0 + 30.0 + 10.0
4,1,return,10,10,WS 2 (Port 2),(0;0;6),139,298,298.0,30.0 + 99.0 + 30.0
5,2,target,20,20,(1;1;1),WS 2 (Port 3),10,105,105.0,30.0 + 25.0 + 30.0 + 10.0
6,2,return,20,20,WS 2 (Port 3),(0;0;5),111,328,328.0,30.0 + 157.0 + 30.0
7,0,target,157,157,(4;7;1),WS 2 (Port 1),323,463,463.0,30.0 + 70.0 + 30.0 + 10.0
8,0,return,157,157,WS 2 (Port 1),(0;0;4),465,540,540.0,30.0 + 15.0 + 30.0
9,1,target,159,159,(4;5;1),WS 2 (Port 2),343,473,473.0,30.0 + 60.0 + 30.0 + 10.0
10,1,return,159,159,WS 2 (Port 2),(0;0;3),475,570,570.0,30.0 + 35.0 + 30.0
