mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,79,79,(2;0;1),WS 1 (Port 1),10,100,100.0,30.0 + 20.0 + 30.0 + 10.0
2,0,return,79,79,WS 1 (Port 1),(1;0;1),112,187,187.0,30.0 + 15.0 + 30.0
3,1,target,13,13,(3;0;0),WS 1 (Port 2),15,110,110.0,30.0 + 25.0 + 30.0 + 10.0
4,1,return,13,13,WS 1 (Port 2),(1;0;0),114,217,217.0,30.0 + 43.0 + 30.0
5,2,target,23,23,(4;5;0),WS 1 (Port 1),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
6,0,return,23,23,WS 1 (Port 1),(0;2;4),218,298,298.0,30.0 + 20.0 + 30.0
7,2,reshuffle,327,76,(3;6;0),(0;2;3),215,328,328.0,30.0 + 53.0 + 30.0
8,1,target,76,76,(3;6;1),WS 2 (Port 1),257,387,387.0,30.0 + 60.0 + 30.0 + 10.0
9,0,return,76,76,WS 2 (Port 1),(0;2;2),405,490,490.0,30.0 + 25.0 + 30.0
10,1,reshuffle,87,10,(4;3;0),(0;2;1),427,520,520.0,30.0 + 33.0 + 30.0
11,2,reshuffle,204,10,(4;3;1),(0;2;0),457,550,550.0,30.0 + 33.0 + 30.0
12,0,reshuffle,197,10,(4;3;2),(0;3;2),515,595,595.0,30.0 + 20.0 + 30.0
13,1,reshuffle,80,10,(4;3;3),(0;3;1),545,625,625.0,30.0 + 20.0 + 30.0
14,2,reshuffle,253,10,(4;3;4),(0;3;0),575,655,655.0,30.0 + 20.0 + 30.0
15,0,reshuffle,113,10,(4;3;5),(0;6;6),615,710,710.0,30.0 + 35.0 + 30.0
16,1,target,10,10,(4;3;6),WS 2 (Port 1),645,765,765.0,30.0 + 50.0 + 30.0 + 10.0
17,0,return,10,10,WS 2 (Port 1),(1;1;2),769,854,854.0,30.0 + 25.0 + 30.0
18,2,reshuffle,386,75,(1;2;4),(0;6;5),665,750,750.0,30.0 + 25.0 + 30.0
19,2,reshuffle,186,75,(1;2;5),(0;6;4),775,860,860.0,30.0 + 25.0 + 30.0
20,1,reshuffle,395,75,(1;2;6),(0;6;3),805,890,890.0,30.0 + 25.0 + 30.0
21,0,target,75,75,(1;2;7),WS 2 (Port 1),859,959,959.0,30.0 + 30.0 + 30.0 + 10.0
22,0,return,75,75,WS 2 (Port 1),(1;1;1),967,1052,1052.0,30.0 + 25.0 + 30.0
