mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,71,71,(2;10;5),WS 2 (Port 1),60,205,205.0,30.0 + 75.0 + 30.0 + 10.0
2,0,return,71,71,WS 2 (Port 1),(1;0;1),213,293,293.0,30.0 + 20.0 + 30.0
3,1,reshuffle,83,32,(2;6;1),(0;2;4),40,130,130.0,30.0 + 30.0 + 30.0
4,2,target,32,32,(2;6;2),WS 2 (Port 2),70,195,195.0,30.0 + 55.0 + 30.0 + 10.0
5,1,return,32,32,WS 2 (Port 2),(1;0;0),199,323,323.0,30.0 + 64.0 + 30.0
6,2,target,56,56,(0;0;0),WS 2 (Port 1),200,285,285.0,30.0 + 15.0 + 30.0 + 10.0
7,2,return,56,56,WS 2 (Port 1),(0;0;0),287,362,362.0,30.0 + 15.0 + 30.0
8,0,reshuffle,183,0,(3;5;2),(0;2;3),328,418,418.0,30.0 + 30.0 + 30.0
9,1,reshuffle,98,0,(3;5;3),(0;2;2),358,448,448.0,30.0 + 30.0 + 30.0
10,2,reshuffle,224,0,(3;5;4),(0;2;1),402,492,492.0,30.0 + 30.0 + 30.0
11,0,target,0,0,(3;5;5),WS 2 (Port 1),448,573,573.0,30.0 + 55.0 + 30.0 + 10.0
12,0,return,0,0,WS 2 (Port 1),(0;2;0),577,662,662.0,30.0 + 25.0 + 30.0
13,1,reshuffle,316,133,(1;7;0),(0;3;2),478,563,563.0,30.0 + 25.0 + 30.0
14,2,reshuffle,5,133,(1;7;1),(0;3;1),522,607,607.0,30.0 + 25.0 + 30.0
15,1,reshuffle,187,133,(1;7;2),(0;3;0),588,673,673.0,30.0 + 25.0 + 30.0
16,2,reshuffle,105,133,(1;7;3),(0;6;6),632,702,702.0,30.0 + 10.0 + 30.0
17,0,reshuffle,180,133,(1;7;4),(0;6;5),692,762,762.0,30.0 + 10.0 + 30.0
18,1,reshuffle,106,133,(1;7;5),(0;6;4),722,792,792.0,30.0 + 10.0 + 30.0
19,2,reshuffle,288,133,(1;7;6),(0;6;3),752,822,822.0,30.0 + 10.0 + 30.0
20,0,target,133,133,(1;7;7),WS 2 (Port 1),782,907,907.0,30.0 + 55.0 + 30.0 + 10.0
21,0,return,133,133,WS 2 (Port 1),(1;1;2),911,996,996.0,30.0 + 25.0 + 30.0
