mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,134,1,(1;3;5),(0;2;4),20,90,90.0,30.0 + 10.0 + 30.0
2,1,target,1,1,(1;3;6),WS 1 (Port 1),50,150,150.0,30.0 + 30.0 + 30.0 + 10.0
3,0,return,1,1,WS 1 (Port 1),(1;0;1),152,227,227.0,30.0 + 15.0 + 30.0
4,2,target,13,13,(3;0;0),WS 1 (Port 2),15,110,110.0,30.0 + 25.0 + 30.0 + 10.0
5,1,return,13,13,WS 1 (Port 2),(1;0;0),140,257,257.0,30.0 + 57.0 + 30.0
6,2,target,23,23,(4;5;0),WS 1 (Port 1),155,280,280.0,30.0 + 55.0 + 30.0 + 10.0
7,0,return,23,23,WS 1 (Port 1),(0;2;3),286,366,366.0,30.0 + 20.0 + 30.0
8,1,target,110,110,(3;3;2),WS 1 (Port 1),282,392,392.0,30.0 + 40.0 + 30.0 + 10.0
9,0,return,110,110,WS 1 (Port 1),(0;2;2),416,496,496.0,30.0 + 20.0 + 30.0
10,2,target,112,112,(3;9;0),WS 1 (Port 1),340,480,480.0,30.0 + 70.0 + 30.0 + 10.0
11,1,return,112,112,WS 1 (Port 1),(0;2;1),504,584,584.0,30.0 + 20.0 + 30.0
12,2,target,114,114,(4;10;1),WS 1 (Port 1),550,700,700.0,30.0 + 80.0 + 30.0 + 10.0
13,0,return,114,114,WS 1 (Port 1),(0;2;0),712,792,792.0,30.0 + 20.0 + 30.0
